Unnamed: 0,DAL,PHI
First Downs,13,21
Rush-Yds-TDs,24-58-1,36-181-2
Cmp-Att-Yd-TD-INT,17-24-196-1-1,21-39-183-0-1
Sacked-Yards,2-13,2-5
Net Pass Yards,183,178
Total Yards,241,359
Fumbles-Lost,1-0,3-0
Turnovers,1,1
Penalties-Yards,4-31,14-95
Third Down Conv.,3-13,7-17
Fourth Down Conv.,0-0,0-0
Time of Possession,24:15,35:45
