Quarter,Time,Down,ToGo,Location,DAL,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,DAL 30,0,0,"Shaun Suisham kicks off 57 yards, returned by Roderick Hood for 15 yards (tackle by Keith Davis)",0.000,0.810
1,14:55,1,10,PHI 28,0,0,Donovan McNabb pass complete to Josh Parry for 3 yards (tackle by Roy Williams),0.810,0.670
1,14:31,2,7,PHI 31,0,0,Donovan McNabb up the middle for 9 yards (tackle by Bradie James),0.670,1.600
1,13:59,1,10,PHI 40,0,0,"Penalty on Jamaal Jackson: False Start, 5 yards (no play)",1.600,1.270
1,13:43,1,15,PHI 35,0,0,"Penalty on Greg Lewis: False Start, 5 yards (no play)",1.270,0.940
1,13:29,1,20,PHI 30,0,0,Donovan McNabb pass complete to Brian Westbrook for 10 yards (tackle by DeMarcus Ware),0.940,1.050
1,12:55,2,10,PHI 40,0,0,Donovan McNabb pass complete to L.J. Smith for 17 yards (tackle by Keith Davis). Penalty on Jason Ferguson: Defensive Offside (Declined),1.050,2.720
1,12:36,1,10,DAL 43,0,0,Brian Westbrook for 4 yards (tackle by Bradie James),2.720,2.720
1,12:00,2,6,DAL 39,0,0,Lamar Gordon left guard for 5 yards (tackle by Bradie James),2.720,2.680
1,11:25,3,1,DAL 34,0,0,Lamar Gordon right tackle for 3 yards (tackle by Scott Fujita),2.680,3.510
1,10:49,1,10,DAL 31,0,0,Donovan McNabb pass complete to L.J. Smith for 6 yards (tackle by Scott Fujita),3.510,3.780
1,10:15,2,4,DAL 25,0,0,Lamar Gordon right guard for 5 yards (tackle by Jason Ferguson and Scott Fujita),3.780,4.240
1,9:40,1,10,DAL 20,0,0,Brian Westbrook up the middle for 5 yards (tackle by Marcus Spears),4.240,4.450
1,9:01,2,5,DAL 15,0,6,"Brian Westbrook right end for 15 yards, touchdown",4.450,7.000
1,,,,DAL 2,0,7,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,0,7,"Jose Cortez kicks off 57 yards, returned by Tyson Thompson for 15 yards (tackle by Keith Adams)",0.000,-0.810
1,8:49,1,10,DAL 28,0,7,Drew Bledsoe pass complete to Marion Barber for -2 yards (tackle by Dhani Jones),0.810,-0.010
1,8:12,2,12,DAL 26,0,7,Marion Barber right end for 2 yards (tackle by Brian Dawkins),-0.010,-0.430
1,7:32,3,10,DAL 28,0,7,Drew Bledsoe pass complete to Marion Barber for 3 yards (tackle by Lito Sheppard),-0.430,-1.310
1,7:32,4,7,DAL 31,0,7,"Mat McBriar punts 31 yards, returned by Brian Westbrook for 2 yards (tackle by Jacques Reeves)",-1.310,-1.600
1,6:51,1,10,PHI 40,0,7,Donovan McNabb pass complete to Brian Westbrook for 5 yards (tackle by Scott Fujita),1.600,1.730
1,6:12,2,5,PHI 45,0,7,Brian Westbrook left end for -3 yards (tackle by DeMarcus Ware),1.730,0.630
1,5:33,3,8,PHI 42,0,7,"Penalty on Jon Runyan: False Start, 5 yards (no play)",0.630,-0.030
1,5:22,3,13,PHI 37,0,7,Brian Westbrook up the middle for 6 yards (tackle by La'Roi Glover),-0.030,-0.520
1,4:56,4,7,PHI 43,0,7,"Reggie Hodges punts 44 yards, fair catch by Peerless Price. Penalty on Roderick Hood: Fair Catch Interference, 15 yards",-0.520,-0.810
1,4:47,1,10,DAL 28,0,7,Drew Bledsoe pass complete to Keyshawn Johnson for 11 yards (tackle by Brian Dawkins),0.810,1.530
1,4:15,1,10,DAL 39,0,7,Marion Barber up the middle for -4 yards (tackle by Michael Lewis),1.530,0.450
1,3:36,2,14,DAL 35,0,7,Marion Barber up the middle for 4 yards (tackle by Jevon Kearse),0.450,0.300
1,2:53,3,10,DAL 39,0,7,Drew Bledsoe pass complete to Peerless Price for 58 yards (tackle by Brian Dawkins),0.300,6.510
1,2:20,1,3,PHI 3,0,7,Marion Barber right guard for 1 yard (tackle by Mark Simoneau),6.510,5.720
1,1:40,2,2,PHI 2,0,7,Marion Barber left end for 1 yard (tackle by Jeremiah Trotter),5.720,5.170
1,1:00,3,1,PHI 1,6,7,"Marion Barber right end for 1 yard, touchdown",5.170,7.000
1,,,,PHI 2,7,7,Shaun Suisham kicks extra point good,0.000,0.000
1,,,,DAL 30,7,7,"Shaun Suisham kicks off 68 yards, returned by Roderick Hood for 21 yards (tackle by Keith Davis). Penalty on Sean Considine: Illegal Block Above the , 10 yards",0.000,-0.320
1,0:47,1,10,PHI 13,7,7,Brian Westbrook up the middle for 4 yards (tackle by Bradie James),-0.320,-0.300
1,0:10,2,6,PHI 17,7,7,Donovan McNabb pass incomplete intended for Chad Lewis (defended by Bradie James),-0.300,-0.940
1,0:05,3,6,PHI 17,7,7,Donovan McNabb pass incomplete intended for Reggie Brown (defended by Aaron Glenn),-0.940,-2.320
Quarter,Time,Down,ToGo,Location,DAL,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,6,PHI 17,7,7,"Reggie Hodges punts 44 yards, fair catch by Peerless Price",-2.320,-1.530
2,14:53,1,10,DAL 39,7,7,Julius Jones left tackle for 8 yards (tackle by Mark Simoneau),1.530,2.070
2,14:17,2,2,DAL 47,7,7,Julius Jones up the middle for -1 yards (tackle by Jeremiah Trotter),2.070,1.220
2,13:35,3,3,DAL 46,7,7,Drew Bledsoe pass complete to Jason Witten for 14 yards (tackle by Jeremiah Trotter). Penalty on Jeremiah Trotter: Illegal Contact (Declined),1.220,2.920
2,13:13,1,10,PHI 40,7,7,Terry Glenn for -10 yards (tackle by Jevon Kearse),2.920,1.020
