Quarter,Time,Tm,Detail,BAL,JAX
1.0,3:52,Ravens,Joe Flacco 7 yard rush (Justin Tucker kick),7,0
2.0,11:07,Ravens,Justin Tucker 43 yard field goal,10,0
,1:55,Jaguars,Allen Robinson 3 yard pass from Blake Bortles (Jason Myers kick),10,7
,0:00,Ravens,Justin Tucker 42 yard field goal,13,7
3.0,10:21,Ravens,Justin Tucker 37 yard field goal,16,7
,4:59,Jaguars,Allen Robinson 11 yard pass from Blake Bortles (Jason Myers kick),16,14
4.0,7:27,Jaguars,Jason Myers 49 yard field goal,16,17
,1:02,Ravens,Justin Tucker 54 yard field goal,19,17
