Unnamed: 0,TEN,NWE
First Downs,9,32
Rush-Yds-TDs,36-193-0,30-193-2
Cmp-Att-Yd-TD-INT,2-14--7-0-2,38-45-432-6-0
Sacked-Yards,0-0,2-6
Net Pass Yards,-7,426
Total Yards,186,619
Fumbles-Lost,6-3,1-0
Turnovers,5,0
Penalties-Yards,6-55,6-40
Third Down Conv.,2-10,5-11
Fourth Down Conv.,0-2,1-3
Time of Possession,21:00,39:00
