Unnamed: 0,CAR,ATL
First Downs,24,23
Rush-Yds-TDs,25-144-1,37-151-1
Cmp-Att-Yd-TD-INT,25-41-308-1-1,21-27-220-3-1
Sacked-Yards,1-12,0-0
Net Pass Yards,296,220
Total Yards,440,371
Fumbles-Lost,2-1,1-1
Turnovers,2,2
Penalties-Yards,6-35,6-40
Third Down Conv.,7-12,6-12
Fourth Down Conv.,0-1,2-2
Time of Possession,28:28,31:32
