Quarter,Time,Tm,Detail,CAR,ATL
1.0,9:52,Panthers,John Kasay 38 yard field goal,3,0
,0:37,Falcons,Tony Gonzalez 24 yard pass from Matt Ryan (Jason Elam kick),3,7
2.0,12:25,Panthers,DeAngelo Williams 3 yard rush (John Kasay kick),10,7
,5:10,Falcons,Jason Snelling 10 yard pass from Matt Ryan (Jason Elam kick),10,14
,1:49,Panthers,John Kasay 50 yard field goal,13,14
,0:50,Falcons,Roddy White 7 yard pass from Matt Ryan (Jason Elam kick),13,21
4.0,12:23,Falcons,Michael Turner 1 yard rush (Jason Elam kick),13,28
,6:45,Panthers,Dante Rosario 11 yard pass from Jake Delhomme (John Kasay kick),20,28
