Unnamed: 0,NYG,IND
First Downs,13,24
Rush-Yds-TDs,25-120-0,43-160-1
Cmp-Att-Yd-TD-INT,13-24-161-2-1,20-26-255-3-0
Sacked-Yards,4-24,1-5
Net Pass Yards,137,250
Total Yards,257,410
Fumbles-Lost,3-2,3-1
Turnovers,3,1
Penalties-Yards,3-25,6-55
Third Down Conv.,3-11,4-11
Fourth Down Conv.,0-1,0-0
Time of Possession,24:54,35:06
