Quarter,Time,Tm,Detail,BAL,CIN
1.0,13:48,Ravens,Justin Tucker 38 yard field goal,3,0
,2:26,Ravens,Justin Tucker 22 yard field goal,6,0
,0:17,Bengals,A.J. Green 53 yard pass from Andy Dalton (Mike Nugent kick),6,7
2.0,6:36,Bengals,Mike Nugent 39 yard field goal,6,10
,1:51,Bengals,Marvin Jones 16 yard pass from Andy Dalton (Mike Nugent kick),6,17
3.0,9:30,Ravens,Justin Tucker 34 yard field goal,9,17
,5:13,Ravens,Marlon Brown 8 yard pass from Joe Flacco (Ray Rice run),17,17
4.0,13:29,Bengals,Andy Dalton 1 yard rush (Mike Nugent kick),17,24
,12:19,Bengals,Mike Nugent 38 yard field goal,17,27
,4:07,Bengals,Dre Kirkpatrick 21 yard interception return (Mike Nugent kick),17,34
