Unnamed: 0,BAL,CIN
First Downs,17,21
Rush-Yds-TDs,14-47-0,30-111-1
Cmp-Att-Yd-TD-INT,30-50-192-1-3,21-36-281-2-4
Sacked-Yards,2-17,0-0
Net Pass Yards,175,281
Total Yards,222,392
Fumbles-Lost,0-0,1-0
Turnovers,3,4
Penalties-Yards,6-56,10-76
Third Down Conv.,4-15,7-13
Fourth Down Conv.,0-2,0-0
Time of Possession,26:03,33:57
