Quarter,Time,Tm,Detail,CAR,ARI
1.0,11:12,Panthers,Cam Newton 2 yard rush (Zane Gonzalez kick),7,0
,8:39,Panthers,Robbie Chosen 2 yard pass from Cam Newton (Zane Gonzalez kick),14,0
,1:00,Panthers,Zane Gonzalez 44 yard field goal,17,0
2.0,9:40,Panthers,Zane Gonzalez 48 yard field goal,20,0
,0:00,Panthers,Zane Gonzalez 49 yard field goal,23,0
3.0,10:02,Cardinals,Matt Prater 47 yard field goal,23,3
,5:34,Panthers,Chuba Hubbard 5 yard rush (Terrace Marshall Jr. pass from P.J. Walker),31,3
4.0,9:19,Cardinals,James Conner 11 yard rush (Matt Prater kick),31,10
,3:26,Panthers,Zane Gonzalez 27 yard field goal,34,10
