Unnamed: 0,CAR,ARI
First Downs,24,11
Rush-Yds-TDs,37-166-2,20-65-1
Cmp-Att-Yd-TD-INT,25-33-175-1-1,17-29-143-0-1
Sacked-Yards,0-0,4-39
Net Pass Yards,175,104
Total Yards,341,169
Fumbles-Lost,2-1,2-1
Turnovers,2,2
Penalties-Yards,9-115,4-58
Third Down Conv.,7-15,4-13
Fourth Down Conv.,0-0,0-3
Time of Possession,37:42,22:18
