Quarter,Time,Down,ToGo,Location,CAR,ARI,Detail,EPB,EPA
1,9:51,1,10,ARI 41,7,0,P.J. Walker pass complete short left to Robbie Anderson for 17 yards (tackle by Chandler Jones),,
1,9:25,1,10,ARI 24,7,0,Christian McCaffrey up the middle for 11 yards (tackle by Jordan Hicks and Budda Baker),,
1,8:54,1,10,ARI 13,7,0,"Christian McCaffrey for no gain, touchdown Replay Assistant challenged the runner was in bounds ruling, and the original play was overturned. Christian McCaffrey up the middle for 11 yards (tackle by Isaiah Simmons)",,
1,8:51,1,2,ARI 2,13,0,"Cam Newton pass complete short right to Robbie Anderson for 2 yards, touchdown",,
1,8:39,,,ARI 15,14,0,Zane Gonzalez kicks extra point good,,
1,8:39,,,CAR 35,14,0,"Zane Gonzalez kicks off 65 yards, touchback.",,
1,8:39,1,10,ARI 25,14,0,James Conner up the middle for -1 yards (tackle by Jeremy Chinn and Marquis Haynes),,
1,8:08,2,11,ARI 24,14,0,Colt McCoy pass complete deep left to Christian Kirk for 19 yards (tackle by Donte Jackson),,
1,7:43,1,10,ARI 43,14,0,Rondale Moore left end for 1 yard (tackle by Shaq Thompson),,
1,7:18,2,9,ARI 44,14,0,Colt McCoy pass complete short middle to Christian Kirk for 5 yards (tackle by Myles Hartsfield and C.J. Henderson),,
1,6:44,3,4,ARI 49,14,0,"Colt McCoy pass complete short left to Christian Kirk for 20 yards (tackle by A.J. Bouye). Penalty on A.J. Bouye: Defensive Holding, 5 yards (declined)",,
1,6:38,1,10,CAR 31,14,0,Colt McCoy pass deep middle intended for Antoine Wesley is intercepted by Donte Jackson at CAR-13 and returned for 21 yards (tackle by Rondale Moore),,
1,6:25,1,10,CAR 34,14,0,"Christian McCaffrey up the middle for 13 yards (tackle by Budda Baker). Penalty on Dennis Daley: Offensive Holding, 10 yards (accepted) (no play)",,
1,6:07,1,20,CAR 24,14,0,P.J. Walker pass complete short middle to D.J. Moore for 6 yards (tackle by Tanner Vallejo),,
1,5:28,2,14,CAR 30,14,0,Christian McCaffrey left end for 12 yards (tackle by Corey Peters and Tanner Vallejo),,
1,4:37,,,,,,Timeout #1 by Carolina Panthers,,
1,4:37,3,2,CAR 42,14,0,Christian McCaffrey up the middle for 10 yards (tackle by Marco Wilson and Jalen Thompson),,
1,3:56,1,10,ARI 48,14,0,Cam Newton pass incomplete short right intended for D.J. Moore,,
1,3:50,2,10,ARI 48,14,0,P.J. Walker pass complete short middle to Robbie Anderson for 16 yards (tackle by Marco Wilson),,
1,3:11,1,10,ARI 32,14,0,Christian McCaffrey up the middle for 6 yards (tackle by Michael Dogbe),,
1,2:29,2,4,ARI 26,14,0,Ameer Abdullah right tackle for 2 yards (tackle by Zach Kerr and Michael Dogbe),,
1,1:47,3,2,ARI 24,14,0,Cam Newton pass complete short left to D.J. Moore for -2 yards (tackle by Jalen Thompson),,
1,1:01,4,4,ARI 26,17,0,Zane Gonzalez 44 yard field goal good,,
1,1:00,,,CAR 35,17,0,"Zane Gonzalez kicks off 65 yards, touchback.",,
1,1:00,1,10,ARI 25,17,0,Eno Benjamin up the middle for 6 yards (tackle by Bravvion Roy and Juston Burris),,
1,0:30,2,4,ARI 31,17,0,Colt McCoy pass complete short right to Christian Kirk for 4 yards (tackle by Myles Hartsfield),,
1,0:04,1,10,ARI 35,17,0,Colt McCoy pass incomplete deep right intended for A.J. Green,,
1,0:02,2,10,ARI 35,17,0,Colt McCoy pass incomplete short right intended for James Conner,,
Quarter,Time,Down,ToGo,Location,CAR,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,10,ARI 35,17,0,Colt McCoy pass incomplete short left intended for Christian Kirk (defended by Donte Jackson),,
2,14:57,4,10,ARI 35,17,0,"Andy Lee punts 46 yards, fair catch by Alex Erickson at CAR-19",,
2,14:49,1,10,CAR 19,17,0,Christian McCaffrey left tackle for 4 yards (tackle by Jordan Hicks),,
2,14:10,2,6,CAR 23,17,0,Christian McCaffrey left end for 12 yards (tackle by Budda Baker),,
2,13:29,1,10,CAR 35,17,0,Chuba Hubbard up the middle for 1 yard (tackle by Leki Fotu),,
2,12:46,2,10,CAR 36,17,0,P.J. Walker pass complete short left to Christian McCaffrey for 6 yards (tackle by Jalen Thompson and Isaiah Simmons),,
2,12:02,3,3,CAR 42,17,0,P.J. Walker pass complete short left to D.J. Moore for 10 yards (tackle by Marco Wilson and Budda Baker),,
2,11:22,1,10,ARI 48,17,0,Chuba Hubbard right tackle for 16 yards (tackle by Isaiah Simmons),,
2,10:37,1,10,ARI 32,17,0,P.J. Walker pass incomplete deep right intended for Terrace Marshall,,
2,10:31,2,10,ARI 32,17,0,P.J. Walker pass complete short left to Robbie Anderson for 2 yards (tackle by Byron Murphy),,
2,9:44,,,,,,Timeout #2 by Carolina Panthers,,
2,9:44,3,8,ARI 30,17,0,P.J. Walker pass incomplete short middle intended for Robbie Anderson (defended by Jordan Hicks),,
2,9:44,4,8,ARI 30,20,0,Zane Gonzalez 48 yard field goal good,,
2,9:40,,,CAR 35,20,0,"Zane Gonzalez kicks off 65 yards, touchback.",,
2,9:40,1,10,ARI 25,20,0,Colt McCoy pass incomplete short right intended for Rondale Moore,,
2,9:36,2,10,ARI 25,20,0,"James Conner up the middle for no gain (tackle by Juston Burris). Penalty on Sean Harlow: Offensive Holding, 10 yards (accepted) (no play)",,
2,9:27,2,20,ARI 15,20,0,Colt McCoy pass complete short middle to James Conner for no gain (tackle by Derrick Brown),,
2,8:33,3,20,ARI 15,20,0,"Colt McCoy pass complete short left to Christian Kirk for -5 yards, lateral to James Conner for no gain (tackle by A.J. Bouye and Shaq Thompson)",,
2,7:57,4,11,ARI 24,20,0,"Andy Lee punts 51 yards, returned by Alex Erickson for 10 yards (tackle by Chris Banjo)",,
2,7:33,1,10,CAR 35,20,0,Christian McCaffrey up the middle for 15 yards (tackle by Byron Murphy and Isaiah Simmons),,
2,6:58,1,10,CAR 50,20,0,Christian McCaffrey up the middle for 10 yards (tackle by Jalen Thompson and Jordan Hicks),,
2,6:20,1,10,ARI 40,20,0,"Christian McCaffrey for no gain. Penalty on Dennis Daley: Offensive Holding, 10 yards (accepted) (no play)",,
2,5:59,1,20,ARI 50,20,0,"Penalty on Dennis Daley: False Start, 5 yards (accepted) (no play)",,
2,5:39,1,25,CAR 45,20,0,P.J. Walker pass complete short left to Ameer Abdullah for 3 yards (tackle by Jordan Hicks),,
2,5:09,2,22,CAR 48,20,0,P.J. Walker pass complete short left to Ameer Abdullah for 11 yards (tackle by Jordan Phillips),,
2,4:28,3,11,ARI 41,20,0,P.J. Walker pass deep middle intended for Terrace Marshall is intercepted by Jalen Thompson at ARI-22 and returned for 10 yards (tackle by Christian McCaffrey),,
2,4:15,1,10,ARI 32,20,0,Colt McCoy pass incomplete short right intended for Zach Ertz (defended by Shaq Thompson),,
2,4:11,2,10,ARI 32,20,0,Colt McCoy pass complete short right to Christian Kirk for 5 yards (tackle by Donte Jackson),,
2,3:27,,,,,,Timeout #1 by Arizona Cardinals,,
2,3:27,3,7,ARI 37,20,0,Colt McCoy pass incomplete short middle intended for A.J. Green,,
2,3:21,4,5,ARI 37,20,0,"Andy Lee punts 47 yards, fair catch by Alex Erickson at CAR-16",,
2,3:16,1,10,CAR 16,20,0,Ameer Abdullah up the middle for 2 yards (tackle by Zach Allen),,
2,2:37,2,8,CAR 18,20,0,P.J. Walker pass complete short middle to Christian McCaffrey for 6 yards (tackle by Isaiah Simmons),,
2,2:00,3,2,CAR 24,20,0,P.J. Walker pass complete short middle to Christian McCaffrey for 9 yards (tackle by Dennis Gardeck),,
2,1:38,1,10,CAR 33,20,0,P.J. Walker pass complete short right to Christian McCaffrey for 2 yards (tackle by Robert Alford),,
2,1:33,2,8,CAR 35,20,0,P.J. Walker scrambles up the middle for 5 yards (tackle by Isaiah Simmons and Jordan Hicks),,
2,1:01,3,3,CAR 40,20,0,P.J. Walker pass complete short right to D.J. Moore for 10 yards (tackle by Robert Alford),,
2,0:36,1,10,ARI 50,20,0,P.J. Walker pass complete short right to Ameer Abdullah for 6 yards (tackle by Jordan Hicks),,
2,0:26,,,,,,Timeout #3 by Carolina Panthers,,
2,0:26,2,4,ARI 44,20,0,"P.J. Walker pass complete short middle to Brandon Zylstra for 10 yards (tackle by Byron Murphy). Penalty on Marco Wilson: Defensive Holding, 5 yards (declined)",,
2,0:16,1,10,ARI 34,20,0,P.J. Walker pass complete short right to Christian McCaffrey for 1 yard (tackle by Robert Alford),,
2,0:15,2,9,ARI 33,20,0,P.J. Walker pass complete short right to Christian McCaffrey for 2 yards (tackle by Jalen Thompson),,
2,0:06,3,7,ARI 32,20,0,P.J. Walker spiked the ball,,
2,0:04,4,7,ARI 31,23,0,Zane Gonzalez 49 yard field goal good,,
Quarter,Time,Down,ToGo,Location,CAR,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,23,0,"Matt Prater kicks off 68 yards, returned by Ameer Abdullah for 26 yards (tackle by Antonio Hamilton)",,
3,14:55,1,10,CAR 23,23,0,Christian McCaffrey right end for 4 yards (tackle by Zach Allen),,
3,14:14,2,5,CAR 28,23,0,Christian McCaffrey right end for 1 yard (tackle by Jordan Phillips),,
3,13:30,3,5,CAR 28,23,0,"P.J. Walker pass complete short right to D.J. Moore for 4 yards (tackle by Robert Alford). Penalty on D.J. Moore: Offensive Pass Interference, 10 yards (accepted) (no play)",,
3,13:12,3,15,CAR 18,23,0,"P.J. Walker pass complete short right to Christian McCaffrey for 3 yards (tackle by Markus Golden). Penalty on Michael Jordan: Offensive Illegal Block Above the Waist, 15 yards (declined)",,
3,12:59,4,11,CAR 21,23,0,"Lac Edwards punts 44 yards, returned by Greg Dortch for no gain (tackle by Giovanni Ricci). Penalty on Antonio Hamilton: Offensive Holding, 10 yards (accepted)",,
3,12:47,1,10,ARI 25,23,0,James Conner up the middle for 2 yards (tackle by DaQuan Jones and Derrick Brown),,
3,12:16,2,8,ARI 27,23,0,Colt McCoy pass complete deep right to Zach Ertz for 19 yards (tackle by Jeremy Chinn),,
3,11:52,1,10,ARI 46,23,0,Colt McCoy pass complete short right to James Conner for 21 yards (tackle by C.J. Henderson),,
3,11:33,1,10,CAR 33,23,0,James Conner up the middle for 4 yards (tackle by Jermaine Carter and Myles Hartsfield),,
3,10:58,2,6,CAR 29,23,0,Eno Benjamin right end for no gain (tackle by Shaq Thompson),,
3,10:25,3,6,CAR 29,23,0,Colt McCoy pass incomplete deep left intended for Zach Ertz,,
3,10:10,4,6,CAR 29,23,3,Matt Prater 47 yard field goal good,,
3,10:02,,,ARI 35,23,3,"Matt Prater kicks off 65 yards, touchback.",,
3,10:02,1,10,CAR 25,23,3,P.J. Walker pass incomplete short right intended for D.J. Moore,,
3,10:00,2,10,CAR 25,23,3,P.J. Walker pass complete short middle to Christian McCaffrey for 9 yards (tackle by Jordan Hicks),,
3,9:16,3,1,CAR 34,23,3,P.J. Walker up the middle for 1 yard (tackle by Corey Peters),,
3,8:22,1,10,CAR 35,23,3,Cam Newton pass complete to Brandon Zylstra for 8 yards (tackle by Jalen Thompson),,
3,7:56,2,2,CAR 43,23,3,Cam Newton left tackle for 4 yards (tackle by Budda Baker),,
3,7:16,1,10,CAR 47,23,3,"Cam Newton pass incomplete deep left intended for D.J. Moore. Penalty on Marco Wilson: Defensive Pass Interference, 33 yards (accepted) (no play)",,
3,7:09,1,10,ARI 20,23,3,Christian McCaffrey up the middle for no gain (tackle by Zach Allen),,
3,6:29,2,10,ARI 20,23,3,P.J. Walker pass complete short left to Christian McCaffrey for 15 yards (tackle by Zaven Collins),,
3,5:53,1,5,ARI 5,29,3,"Chuba Hubbard right end for 5 yards, touchdown",,
3,5:34,,,ARI 2,31,3,Two Point Attempt: P.J. Walker pass complete to to Terrace Marshall for no gain,,
3,5:34,,,CAR 35,31,3,"Zane Gonzalez kicks off 65 yards, touchback.",,
3,5:34,1,10,ARI 25,31,3,"Colt McCoy pass incomplete intended for Antoine Wesley. Penalty on Donte Jackson: Defensive Pass Interference, 35 yards (accepted) (no play)",,
3,5:29,1,10,CAR 40,31,3,Colt McCoy sacked by Shaq Thompson for -8 yards,,
3,4:47,2,18,CAR 48,31,3,"Penalty on ARI: Delay of Game, 5 yards (accepted) (no play)",,
3,4:41,2,23,ARI 47,31,3,Chris Streveler scrambles up the middle for 4 yards (tackle by Shaq Thompson),,
3,3:51,3,19,CAR 49,31,3,Chris Streveler pass complete to Rondale Moore for 7 yards (tackle by A.J. Bouye),,
3,3:40,4,12,CAR 42,31,3,Chris Streveler sacked by and Haason Reddick for -7 yards and Morgan Fox for -7 yards,,
3,3:17,1,10,CAR 49,31,3,Chuba Hubbard up the middle for 2 yards (tackle by Michael Dogbe),,
3,2:42,2,8,ARI 49,31,3,"P.J. Walker aborted snap, recovered by Zach Allen at ARI-49 and returned for 11 yards (tackle by Taylor Moton and P.J. Walker)",,
3,2:31,1,10,CAR 40,31,3,Chris Streveler pass complete short right to Zach Ertz for 9 yards (tackle by A.J. Bouye),,
3,2:07,2,2,CAR 31,31,3,James Conner up the middle for no gain (tackle by Haason Reddick and Shaq Thompson),,
3,1:36,3,1,CAR 31,31,3,James Conner right tackle for no gain (tackle by Haason Reddick),,
3,0:49,4,1,CAR 31,31,3,"Chris Streveler aborted snap, recovered by Eno Benjamin at CAR-35",,
3,0:45,1,10,CAR 35,31,3,Ameer Abdullah up the middle for 4 yards (tackle by Jordan Hicks and Zach Allen),,
Quarter,Time,Down,ToGo,Location,CAR,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,CAR 39,31,3,Ameer Abdullah left end for -9 yards (tackle by Zach Allen),,
4,14:04,3,15,CAR 30,31,3,"Ameer Abdullah up the middle for 3 yards (tackle by Chandler Jones and Dennis Gardeck) Penalty on CAR: Illegal Formation, 5 yards (declined)",,
4,14:01,4,12,CAR 33,31,3,"Lac Edwards punts 55 yards, returned by Greg Dortch for 17 yards (tackle by Myles Hartsfield)",,
4,13:52,1,10,ARI 29,31,3,Chris Streveler pass complete to James Conner for -5 yards (tackle by Jermaine Carter),,
4,13:19,2,14,ARI 24,31,3,Chris Streveler pass incomplete short right intended for A.J. Green,,
4,13:17,3,15,ARI 24,31,3,Chris Streveler pass complete short middle to Zach Ertz for 17 yards (tackle by Sean Chandler),,
4,12:51,1,10,ARI 41,31,3,Chris Streveler pass complete short right to Christian Kirk for 5 yards (tackle by Keith Taylor),,
4,12:22,2,5,ARI 46,31,3,James Conner right tackle for 4 yards (tackle by Keith Taylor),,
4,11:48,3,1,ARI 50,31,3,"James Conner up the middle for 4 yards (tackle by Jermaine Carter). Penalty on Jermaine Carter: Face Mask (15 Yards), 15 yards (accepted)",,
4,11:28,1,10,CAR 31,31,3,Eno Benjamin up the middle for 6 yards (tackle by Jeremy Chinn),,
4,10:49,2,4,CAR 25,31,3,Chris Streveler pass complete short left to Rondale Moore for 3 yards (tackle by Donte Jackson),,
4,10:06,,,,,,Timeout #1 by Arizona Cardinals,,
4,10:06,3,1,CAR 22,31,3,James Conner right tackle for 11 yards (tackle by Jeremy Chinn),,
4,9:33,1,10,CAR 11,31,3,Chris Streveler pass incomplete short right intended for A.J. Green,,
4,9:29,2,10,CAR 11,31,9,"James Conner left tackle for 11 yards, touchdown",,
4,9:19,,,CAR 15,31,10,Matt Prater kicks extra point good,,
4,9:19,,,ARI 35,31,10,"Matt Prater kicks onside 10 yards, returned by Sean Chandler for no gain",,
4,9:19,1,10,ARI 45,31,10,Ameer Abdullah right tackle for 15 yards (tackle by Jordan Hicks),,
4,8:36,1,10,ARI 30,31,10,P.J. Walker pass incomplete short left intended for D.J. Moore,,
4,8:32,2,10,ARI 30,31,10,Ameer Abdullah left tackle for 4 yards (tackle by Jordan Phillips),,
4,7:56,3,6,ARI 26,31,10,P.J. Walker pass complete short right to Ameer Abdullah for 7 yards (tackle by Isaiah Simmons),,
4,7:22,1,10,ARI 19,31,10,Cam Newton right tackle for 8 yards (tackle by Byron Murphy),,
4,6:40,2,2,ARI 11,31,10,Ameer Abdullah up the middle for 6 yards (tackle by Budda Baker and Jalen Thompson),,
4,5:41,,,,,,Timeout #1 by Carolina Panthers,,
4,5:41,1,5,ARI 5,31,10,Chuba Hubbard up the middle for -4 yards (tackle by Devon Kennard),,
4,4:47,2,9,ARI 9,31,10,P.J. Walker pass complete short middle to Tommy Tremble for 3 yards (tackle by Jordan Hicks and Michael Dogbe),,
4,4:20,3,6,ARI 6,31,10,Ameer Abdullah right end for -3 yards (tackle by Joe Walker and Leki Fotu),,
4,3:34,4,9,ARI 9,34,10,Zane Gonzalez 27 yard field goal good,,
4,3:26,,,CAR 35,34,10,"Zane Gonzalez kicks off 65 yards, touchback.",,
4,3:26,1,10,ARI 25,34,10,Chris Streveler pass incomplete short middle intended for Eno Benjamin (defended by Shaq Thompson),,
4,3:22,2,10,ARI 25,34,10,Chris Streveler sacked by Marquis Haynes for -10 yards,,
4,2:45,3,20,ARI 15,34,10,Eno Benjamin up the middle for 1 yard (tackle by Yetur Gross-Matos and Frankie Luvu),,
4,2:23,4,19,ARI 16,34,10,"Andy Lee punts 50 yards, returned by Alex Erickson for 12 yards (tackle by Darrell Daniels). Penalty on Keith Taylor: Offensive Holding, 10 yards (accepted)",,
4,2:09,1,10,CAR 36,34,10,Chuba Hubbard up the middle for 1 yard (tackle by Zaven Collins),,
4,2:00,2,9,CAR 37,34,10,Chuba Hubbard up the middle for 7 yards (tackle by Deionte Thompson),,
4,1:23,3,2,CAR 44,34,10,Chuba Hubbard right tackle for -2 yards (tackle by Leki Fotu and Jalen Thompson),,
4,0:34,4,4,CAR 42,34,10,"Lac Edwards punts 54 yards, returned by Greg Dortch for 7 yards (tackle by Jermaine Carter and Brandon Zylstra)",,
4,0:22,1,10,ARI 11,34,10,Eno Benjamin up the middle for 9 yards (tackle by Julian Stanford),,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
