Unnamed: 0,JAX,TEN
First Downs,21,12
Rush-Yds-TDs,23-122-0,34-79-1
Cmp-Att-Yd-TD-INT,25-41-298-2-3,9-15-152-0-0
Sacked-Yards,7-45,2-10
Net Pass Yards,253,142
Total Yards,375,221
Fumbles-Lost,1-0,0-0
Turnovers,3,0
Penalties-Yards,7-35,5-43
Third Down Conv.,7-16,6-14
Fourth Down Conv.,0-3,0-2
Time of Possession,32:21,27:39
