Quarter,Time,Tm,Detail,JAX,TEN
1.0,11:34,Titans,Chris Johnson 2 yard rush (Rob Bironas kick),0,7
,5:40,Jaguars,Jordan Shipley 5 yard pass from Chad Henne (Josh Scobee kick),7,7
2.0,14:53,Jaguars,Justin Blackmon 30 yard pass from Chad Henne (Josh Scobee kick),14,7
,1:48,Titans,Zach Brown 79 yard interception return (Rob Bironas kick),14,14
,0:33,Titans,Darius Reynaud 69 yard punt return (Rob Bironas kick),14,21
3.0,12:54,Titans,Darius Reynaud 81 yard punt return (Rob Bironas kick),14,28
,12:03,Titans,Zach Brown 30 yard interception return (Rob Bironas kick),14,35
4.0,12:26,Titans,Rob Bironas 48 yard field goal,14,38
,2:16,Jaguars,Mike Harris 19 yard blocked punt return (run failed),20,38
