Quarter,Time,Tm,Detail,PHI,DAL
1,6:44,Cowboys,Cole Beasley 5 yard pass from Matt Cassel (Dan Bailey kick),0,7
2,9:01,Eagles,DeMarco Murray 1 yard rush (Caleb Sturgis kick),7,7
3,8:36,Eagles,Ryan Mathews 6 yard rush (Caleb Sturgis kick),14,7
,2:04,Cowboys,Cole Beasley 17 yard pass from Matt Cassel (Dan Bailey kick),14,14
4,12:47,Eagles,Jordan Hicks 67 yard interception return (Caleb Sturgis kick),21,14
,10:52,Cowboys,Dez Bryant 18 yard pass from Matt Cassel (Dan Bailey kick),21,21
,7:22,Eagles,Caleb Sturgis 31 yard field goal,24,21
,2:53,Cowboys,Dan Bailey 41 yard field goal,24,24
,1:46,Eagles,Caleb Sturgis 53 yard field goal,27,24
,0:02,Cowboys,Dan Bailey 44 yard field goal,27,27
OT,10:59,Eagles,Jordan Matthews 41 yard pass from Sam Bradford,33,27
