Unnamed: 0,PHI,DAL
First Downs,25,25
Rush-Yds-TDs,35-172-2,29-134-0
Cmp-Att-Yd-TD-INT,25-36-295-1-0,25-38-299-3-1
Sacked-Yards,1-8,4-22
Net Pass Yards,287,277
Total Yards,459,411
Fumbles-Lost,0-0,2-0
Turnovers,0,1
Penalties-Yards,10-70,8-58
Third Down Conv.,3-13,8-16
Fourth Down Conv.,2-2,2-2
Time of Possession,25:42,38:19
