Quarter,Time,Tm,Detail,PIT,CLE
2.0,6:03,Browns,Phil Dawson 26 yard field goal,0,3
,1:06,Browns,Phil Dawson 45 yard field goal,0,6
,0:00,Steelers,Shaun Suisham 19 yard field goal,3,6
3.0,9:43,Steelers,Shaun Suisham 29 yard field goal,6,6
,5:27,Steelers,Isaac Redman 7 yard rush (Shaun Suisham kick),13,6
,1:59,Browns,Phil Dawson 49 yard field goal,13,9
