Quarter,Time,Tm,Detail,TEN,BUF
1.0,12:27,Titans,Rob Bironas 48 yard field goal,3,0
,7:17,Bills,C.J. Spiller 35 yard rush (Dave Rayner kick),3,7
,5:50,Titans,Chris Johnson 48 yard rush (Rob Bironas kick),10,7
2.0,13:48,Titans,Chris Johnson 4 yard rush (Rob Bironas kick),17,7
,6:46,Bills,Dave Rayner 27 yard field goal,17,10
3.0,6:45,Titans,Rob Bironas 27 yard field goal,20,10
4.0,8:55,Titans,Rob Bironas 44 yard field goal,23,10
,2:58,Bills,Stevie Johnson 2 yard pass from Ryan Fitzpatrick (Dave Rayner kick),23,17
