Unnamed: 0,TEN,BUF
First Downs,18,18
Rush-Yds-TDs,31-187-2,23-104-0
Cmp-Att-Yd-TD-INT,16-25-140-0-0,29-46-288-1-0
Sacked-Yards,1-10,1-6
Net Pass Yards,130,282
Total Yards,317,386
Fumbles-Lost,1-0,3-2
Turnovers,0,2
Penalties-Yards,3-20,2-15
Third Down Conv.,2-11,7-16
Fourth Down Conv.,1-1,2-4
Time of Possession,28:14,31:46
