Unnamed: 0,IND,TEN
First Downs,21,23
Rush-Yds-TDs,34-116-2,19-93-1
Cmp-Att-Yd-TD-INT,22-34-228-0-0,22-38-235-2-0
Sacked-Yards,2-4,1-1
Net Pass Yards,224,234
Total Yards,340,327
Fumbles-Lost,0-0,4-4
Turnovers,0,4
Penalties-Yards,6-57,10-67
Third Down Conv.,5-14,6-10
Fourth Down Conv.,1-1,0-0
Time of Possession,33:54,26:06
