Unnamed: 0,DET,GNB
First Downs,24,21
Rush-Yds-TDs,33-64-1,17-78-2
Cmp-Att-Yd-TD-INT,26-33-361-2-0,26-38-245-0-0
Sacked-Yards,1-8,3-12
Net Pass Yards,353,233
Total Yards,417,311
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,2-19,2-20
Third Down Conv.,8-13,2-9
Fourth Down Conv.,0-0,0-2
Time of Possession,36:55,23:05
