Quarter,Time,Down,ToGo,Location,TEN,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Andrew Franks kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,TEN 25,0,0,DeMarco Murray left end for 8 yards (tackle by Kiko Alonso),0.610,1.140
1,14:26,2,2,TEN 33,0,0,DeMarco Murray left tackle for 12 yards (tackle by Reshad Jones and Kiko Alonso),1.140,1.930
1,13:46,1,10,TEN 45,0,0,DeMarco Murray middle for -1 yards (tackle by Kiko Alonso),1.930,1.250
1,13:06,2,11,TEN 44,0,0,"Marcus Mariota pass complete short right to Delanie Walker for no gain (tackle by Byron Maxwell). Delanie Walker fumbles (forced by Byron Maxwell), recovered by Delanie Walker at TEN-44",1.250,0.560
1,12:16,3,11,TEN 44,0,0,Marcus Mariota pass incomplete short right intended for Delanie Walker,0.560,-0.460
1,12:08,4,11,TEN 44,0,0,"Brett Kern punts 41 yards, fair catch by Jarvis Landry",-0.460,0.220
1,12:00,1,10,MIA 15,0,0,Jay Ajayi right end for 3 yards (tackle by Avery Williamson),-0.220,-0.280
1,11:18,2,7,MIA 18,0,0,Jarvis Landry right end for 2 yards (tackle by Derrick Morgan),-0.280,-0.760
1,10:37,3,5,MIA 20,0,0,Ryan Tannehill pass complete short left to Jarvis Landry for 8 yards (tackle by Rashad Johnson),-0.760,0.810
1,9:57,1,10,MIA 28,0,0,Ryan Tannehill pass complete short right to Dominique Jones for 5 yards (tackle by Avery Williamson),0.810,0.940
1,9:10,2,5,MIA 33,0,0,Ryan Tannehill sacked by Derrick Morgan for -7 yards,0.940,-0.690
1,8:32,3,12,MIA 26,0,0,Ryan Tannehill pass incomplete short right intended for Jay Ajayi,-0.690,-1.630
1,8:23,4,12,MIA 26,0,0,"Matt Darr punts 57 yards, returned by Marc Mariani for 2 yards (tackle by Bobby McCain)",-1.630,-0.150
1,8:13,1,10,TEN 19,0,0,"DeMarco Murray right end for 2 yards (tackle by Byron Maxwell). Penalty on Byron Maxwell: Face Mask (15 Yards), 15 yards",0.150,1.330
1,7:48,1,10,TEN 36,0,0,DeMarco Murray left guard for 4 yards (tackle by Cameron Wake),1.330,1.330
1,7:19,2,6,TEN 40,0,0,Marcus Mariota pass complete short left to DeMarco Murray for 7 yards (tackle by Neville Hewitt and Donald Butler),1.330,2.060
1,6:53,1,10,TEN 47,0,0,"Marcus Mariota pass complete short right to Delanie Walker for 10 yards (tackle by Isa Abdul-Quddus). Penalty on Quinton Spain: Ineligible Downfield Pass, 5 yards (no play)",2.060,1.730
1,6:18,1,15,TEN 42,0,0,Derrick Henry left guard for 7 yards (tackle by Terrence Fede and Kiko Alonso),1.730,1.790
1,5:47,2,8,TEN 49,0,0,Derrick Henry right tackle for 5 yards (tackle by Terrence Fede),1.790,1.750
1,5:04,3,3,MIA 46,0,0,Marcus Mariota pass incomplete deep left intended for Andre Johnson,1.750,0.200
1,4:58,4,3,MIA 46,0,0,Brett Kern punts 28 yards,0.200,-0.040
1,4:48,1,10,MIA 18,0,0,Damien Williams right tackle for 3 yards (tackle by Karl Klug),0.040,0.010
1,4:12,2,7,MIA 21,0,0,Jay Ajayi middle for 3 yards (tackle by Derrick Morgan),0.010,-0.400
1,3:29,3,4,MIA 24,0,0,Ryan Tannehill pass incomplete short left intended for Kenyan Drake. Penalty on Billy Turner: Illegal Use of Hands (Declined),-0.400,-1.770
1,3:23,4,4,MIA 24,0,0,"Matt Darr punts 46 yards, returned by Marc Mariani for 9 yards (tackle by Walt Aikens)",-1.770,-1.530
1,3:12,1,10,TEN 39,0,0,Marcus Mariota pass complete deep middle to Delanie Walker for 29 yards (tackle by Isa Abdul-Quddus),1.530,3.450
1,2:32,1,10,MIA 32,0,0,DeMarco Murray left end for 9 yards (tackle by Kiko Alonso and Andre Branch),3.450,4.120
1,1:53,2,1,MIA 23,0,0,DeMarco Murray left end for 13 yards (tackle by Reshad Jones),4.120,4.910
1,1:09,1,10,MIA 10,0,0,DeMarco Murray left tackle for 5 yards (tackle by Tony Lippett),4.910,5.150
1,0:30,2,5,MIA 5,6,0,"Marcus Mariota right end for 5 yards, touchdown",5.150,7.000
1,0:30,,,MIA 5,7,0,Ryan Succop kicks extra point good,0.000,0.000
1,0:30,,,TEN 35,7,0,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
1,0:23,1,10,MIA 25,7,0,Ryan Tannehill pass incomplete short right intended for Dion Sims (defended by Wesley Woodyard),0.610,0.060
1,0:19,2,10,MIA 25,7,0,Jay Ajayi left end for 9 yards (tackle by Sean Spence),0.060,0.560
Quarter,Time,Down,ToGo,Location,TEN,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,MIA 34,7,0,Ryan Tannehill pass incomplete short middle intended for Dion Sims (defended by Austin Johnson),0.560,-1.110
2,14:56,4,1,MIA 34,7,0,"Matt Darr punts 57 yards, returned by Marc Mariani for 9 yards (tackle by Michael Thomas)",-1.110,-0.040
2,14:44,1,10,TEN 18,7,0,"Derrick Henry for 4 yards (tackle by Kiko Alonso). Penalty on Tajae Sharpe: Illegal Block Above the Waist, 9 yards (no play)",0.040,-0.720
2,14:08,1,19,TEN 9,7,0,Marcus Mariota pass incomplete,-0.720,-1.440
2,14:05,2,19,TEN 9,7,0,Derrick Henry middle for 5 yards (tackle by Donald Butler),-1.440,-1.820
2,13:22,3,14,TEN 14,7,0,Marcus Mariota pass complete short right to Kendall Wright for 9 yards (tackle by Ndamukong Suh),-1.820,-1.830
2,12:44,4,5,TEN 23,7,6,"Brett Kern punts 51 yards, returned by Jakeem Grant for 74 yards, touchdown",-1.830,-7.000
2,12:23,,,TEN 23,7,7,Andrew Franks kicks extra point good,0.000,0.000
2,12:23,,,MIA 35,7,7,"Andrew Franks kicks off 61 yards, returned by Marc Mariani for 20 yards (tackle by Michael Thomas)",0.000,-0.540
2,12:15,1,10,TEN 24,7,7,DeMarco Murray right tackle for 5 yards (tackle by Donald Butler),0.540,0.670
2,11:38,2,5,TEN 29,7,7,DeMarco Murray middle for 3 yards (tackle by Kiko Alonso),0.670,0.370
2,10:59,3,2,TEN 32,7,7,DeMarco Murray left tackle for 8 yards (tackle by Tony Lippett),0.370,1.600
2,10:16,1,10,TEN 40,7,7,Marcus Mariota right end for 8 yards (tackle by Jordan Phillips),1.600,2.130
2,9:34,2,2,TEN 48,7,7,Derrick Henry left tackle for 8 yards (tackle by Jason Jones),2.130,2.650
2,8:54,1,10,MIA 44,7,7,Derrick Henry middle for 2 yards (tackle by Kiko Alonso),2.650,2.380
2,8:17,2,8,MIA 42,7,7,Derrick Henry middle for 22 yards (tackle by Reshad Jones and Isa Abdul-Quddus),2.380,4.240
2,7:39,1,10,MIA 20,7,7,Derrick Henry right tackle for 5 yards (tackle by Kiko Alonso),4.240,4.450
2,7:02,2,5,MIA 15,7,7,DeMarco Murray right end for 10 yards (tackle by Reshad Jones and Jordan Phillips),4.450,6.060
2,6:17,1,5,MIA 5,7,7,DeMarco Murray left guard for no gain (tackle by Kiko Alonso),6.060,5.150
2,5:38,2,5,MIA 5,7,7,Marcus Mariota pass incomplete short middle intended for DeMarco Murray,5.150,4.260
2,5:34,3,5,MIA 5,13,7,"Marcus Mariota pass complete short middle to Andre Johnson for 5 yards, touchdown",4.260,7.000
2,5:34,,,MIA 5,14,7,Ryan Succop kicks extra point good,0.000,0.000
2,5:34,,,TEN 35,14,7,"Ryan Succop kicks off 70 yards, returned by Jakeem Grant for 26 yards (tackle by David Bass)",0.000,-0.340
2,5:24,1,10,MIA 21,14,7,Jay Ajayi right tackle for 4 yards (tackle by Avery Williamson),0.340,0.340
2,4:48,2,6,MIA 25,14,7,Ryan Tannehill pass complete short left to Damien Williams for 58 yards (tackle by David Bass),0.340,4.440
2,3:57,1,10,TEN 17,14,7,Jay Ajayi left tackle for 4 yards (tackle by David Bass),4.440,4.500
2,3:06,2,6,TEN 13,14,7,Jay Ajayi left guard for 5 yards (tackle by Sean Spence),4.500,4.800
2,2:36,3,1,TEN 8,14,7,Jay Ajayi for 4 yards (tackle by Daimion Stafford),4.800,6.280
2,2:01,1,4,TEN 4,14,13,"Jay Ajayi left guard for 4 yards, touchdown",6.280,7.000
2,2:01,,,TEN 4,14,14,Andrew Franks kicks extra point good,0.000,0.000
2,2:01,,,MIA 35,14,14,"Andrew Franks kicks off 65 yards, touchback",0.000,-0.610
2,2:00,1,10,TEN 25,14,14,Marcus Mariota pass complete short left to Tajae Sharpe for 9 yards (tackle by Tony Lippett),0.610,1.280
2,1:54,2,1,TEN 34,14,14,Marcus Mariota pass complete short middle to Rishard Matthews for 10 yards (tackle by Kiko Alonso),1.280,1.860
2,1:34,1,10,TEN 44,14,14,Marcus Mariota pass complete short left to Tajae Sharpe for 8 yards (tackle by Spencer Paysinger),1.860,2.400
2,1:28,2,2,MIA 48,14,14,Marcus Mariota right end for 21 yards (tackle by Isa Abdul-Quddus),2.400,3.780
2,1:00,1,10,MIA 27,14,14,Marcus Mariota pass complete short right to Rishard Matthews for 7 yards (tackle by Byron Maxwell),3.780,3.780
