Unnamed: 0,BAL,IND
First Downs,12,22
Rush-Yds-TDs,19-87-0,25-42-0
Cmp-Att-Yd-TD-INT,20-35-189-0-2,30-44-246-2-1
Sacked-Yards,1-6,2-13
Net Pass Yards,183,233
Total Yards,270,275
Fumbles-Lost,3-2,0-0
Turnovers,4,1
Penalties-Yards,7-64,4-25
Third Down Conv.,5-13,6-15
Fourth Down Conv.,0-2,1-1
Time of Possession,26:02,33:58
