Quarter,Time,Down,ToGo,Location,BAL,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,BAL 30,0,0,"Billy Cundiff kicks off 75 yards, touchback",0.000,0.280
1,15:00,1,10,IND 20,0,0,Peyton Manning pass complete deep middle to Austin Collie for 20 yards (tackle by Ed Reed),0.280,1.600
1,14:25,1,10,IND 40,0,0,Joseph Addai left tackle for -1 yards (tackle by Chris Carr),1.600,0.920
1,13:48,2,11,IND 39,0,0,Peyton Manning pass complete short middle to Dallas Clark for 10 yards (tackle by Dannell Ellerbe),0.920,1.550
1,13:11,3,1,IND 49,0,0,Mike Hart middle for 3 yards (tackle by Jarret Johnson and Dwan Edwards),1.550,2.390
1,12:29,1,10,BAL 48,0,0,Peyton Manning pass complete short right to Pierre Garcon for 8 yards (tackle by Frank Walker),2.390,2.930
1,11:56,2,2,BAL 40,0,0,Peyton Manning pass complete short right to Pierre Garcon for 7 yards (tackle by Frank Walker),2.930,3.380
1,11:35,1,10,BAL 33,0,0,Joseph Addai right end for 7 yards (tackle by Justin Bannan),3.380,3.780
1,10:59,2,3,BAL 26,0,0,Peyton Manning pass incomplete short right intended for Dallas Clark (defended by Ray Lewis),3.780,3.070
1,10:54,3,3,BAL 26,0,0,Peyton Manning pass incomplete short right intended for Pierre Garcon,3.070,1.840
1,10:48,4,3,BAL 26,0,3,Matt Stover 44 yard field goal good,1.840,3.000
1,,,,IND 30,0,3,"Pat McAfee kicks off 74 yards, returned by Jalen Parmele for 64 yards (tackle by Jamie Silva). Penalty on L.J. Smith: Illegal Block Above the , 7 yards",0.000,-0.380
1,10:33,1,10,BAL 7,0,3,Ray Rice right end for 1 yard (tackle by Daniel Muir and Clint Session),-0.380,-0.710
1,9:50,2,9,BAL 8,0,3,Joe Flacco pass complete short left to Derrick Mason for 16 yards (tackle by Jerraud Powers),-0.710,0.540
1,9:26,1,10,BAL 24,0,3,Mark Clayton right end for 8 yards (tackle by Melvin Bullitt),0.540,1.080
1,8:51,2,2,BAL 32,0,3,Le'Ron McClain middle for 3 yards (tackle by Robert Mathis),1.080,1.270
1,8:18,1,10,BAL 35,0,3,Joe Flacco pass complete short right to Derrick Mason for 12 yards (tackle by Kelvin Hayden),1.270,2.060
1,7:54,1,10,BAL 47,0,3,Joe Flacco pass complete short left to Ray Rice for no gain,2.060,1.520
1,7:09,2,10,BAL 47,0,3,Ray Rice left end for 3 yards (tackle by Philip Wheeler),1.520,1.220
1,6:28,3,7,,0,3,"Joe Flacco pass incomplete short middle intended for Mark Clayton. Penalty on Robert Mathis: Defensive Offside, 5 yards (no play)",1.220,1.880
1,6:23,3,2,IND 45,0,3,Joe Flacco pass complete deep right to Derrick Mason for 27 yards (tackle by Kelvin Hayden),1.880,4.370
1,5:50,1,10,IND 18,0,3,Ray Rice middle for 2 yards (tackle by Melvin Bullitt and Daniel Muir),4.370,4.090
1,5:09,2,8,IND 16,0,3,Ray Rice left tackle for 6 yards (tackle by Melvin Bullitt),4.090,4.510
1,4:27,3,2,IND 10,0,3,Joe Flacco middle for 2 yards (tackle by Daniel Muir and Dwight Freeney),4.510,5.370
1,3:44,1,8,IND 8,0,3,Willis McGahee middle for 2 yards (tackle by Antonio Johnson and Dwight Freeney),5.370,4.950
1,3:10,2,6,IND 6,0,3,Joe Flacco pass incomplete short right intended for Le'Ron McClain,4.950,4.040
1,3:05,3,6,IND 6,0,3,Joe Flacco pass incomplete short right intended for Mark Clayton (defended by Antoine Bethea),4.040,2.990
1,3:00,4,6,IND 6,3,3,Billy Cundiff 25 yard field goal good,2.990,3.000
1,,,,BAL 30,3,3,"Billy Cundiff kicks off 70 yards, returned by Chad Simpson for 14 yards (tackle by Tom Zbikowski)",0.000,-0.280
1,2:51,1,10,IND 14,3,3,Peyton Manning pass complete short right to Dallas Clark for 19 yards (tackle by Dannell Ellerbe),-0.280,1.140
1,2:18,1,10,IND 33,3,3,Joseph Addai middle for 4 yards (tackle by Kelly Gregg and Ed Reed),1.140,1.130
1,1:46,2,6,IND 37,3,3,Peyton Manning pass incomplete short left intended for Dallas Clark,1.130,0.430
1,1:42,3,6,IND 37,3,3,Peyton Manning pass complete short left to Austin Collie for 8 yards (tackle by Chris Carr),0.430,1.930
1,1:08,1,10,IND 45,3,3,Joseph Addai right end for 3 yards (tackle by Terrell Suggs),1.930,1.790
1,0:29,2,7,IND 48,3,3,Peyton Manning pass incomplete short middle intended for Austin Collie,1.790,1.090
1,0:23,3,7,IND 48,3,3,Peyton Manning pass complete short left to Dallas Clark for 3 yards (tackle by Domonique Foxworth),1.090,0.000
Quarter,Time,Down,ToGo,Location,BAL,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,4,BAL 49,3,3,"Pat McAfee punts 40 yards, fair catch by Chris Carr",0.000,0.380
2,14:54,1,10,BAL 9,3,3,Ray Rice middle for 6 yards (tackle by Gary Brackett and Clint Session),-0.380,-0.280
2,14:25,2,4,BAL 15,3,3,Ray Rice middle for 2 yards (tackle by Clint Session and Raheem Brock),-0.280,-0.480
2,13:48,3,2,BAL 17,3,3,Joe Flacco pass incomplete short right intended for Derrick Mason,-0.480,-2.320
2,13:44,4,2,BAL 17,3,3,"Sam Koch punts 39 yards, returned by T.J. Rushing for 7 yards (tackle by Matt Katula)",-2.320,-2.320
