Quarter,Time,Tm,Detail,BAL,IND
1.0,10:44,Colts,Matt Stover 44 yard field goal,0,3
,2:57,Ravens,Billy Cundiff 25 yard field goal,3,3
2.0,2:00,Colts,Austin Collie 10 yard pass from Peyton Manning (Matt Stover kick),3,10
,0:03,Colts,Reggie Wayne 3 yard pass from Peyton Manning (Matt Stover kick),3,17
4.0,13:26,Colts,Matt Stover 33 yard field goal,3,20
