Quarter,Time,Tm,Detail,SEA,ARI
1.0,5:05,Seahawks,Jason Myers 33 yard field goal,3,0
2.0,11:08,Cardinals,Matt Prater 23 yard field goal,3,3
,7:06,Seahawks,Will Dissly 19 yard pass from Geno Smith (Jason Myers kick),10,3
,1:57,Cardinals,Matt Prater 34 yard field goal,10,6
,0:00,Seahawks,Jason Myers 29 yard field goal,13,6
3.0,10:33,Cardinals,James Conner 29 yard rush (Matt Prater kick),13,13
4.0,9:48,Cardinals,Trey McBride 8 yard pass from Kyler Murray (Matt Prater kick),13,20
,1:54,Seahawks,Tyler Lockett 34 yard pass from Geno Smith (Tyler Lockett pass from Geno Smith),21,20
