Unnamed: 0,SEA,ARI
First Downs,18,24
Rush-Yds-TDs,25-138-0,38-206-1
Cmp-Att-Yd-TD-INT,16-28-189-2-0,22-30-262-1-0
Sacked-Yards,0-0,1-2
Net Pass Yards,189,260
Total Yards,327,466
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,0-0,5-27
Third Down Conv.,6-12,5-13
Fourth Down Conv.,0-0,2-2
Time of Possession,23:57,36:03
