Quarter,Time,Tm,Detail,NWE,DEN
1.0,7:32,Broncos,Owen Daniels 21 yard pass from Peyton Manning (Brandon McManus kick),0,7
,1:49,Patriots,Steven Jackson 1 yard rush (Stephen Gostkowski kick failed),6,7
2.0,13:46,Broncos,Owen Daniels 12 yard pass from Peyton Manning (Brandon McManus kick),6,14
,7:02,Patriots,Stephen Gostkowski 46 yard field goal,9,14
,0:33,Broncos,Brandon McManus 52 yard field goal,9,17
3.0,10:26,Patriots,Stephen Gostkowski 38 yard field goal,12,17
4.0,10:02,Broncos,Brandon McManus 31 yard field goal,12,20
,0:12,Patriots,Rob Gronkowski 4 yard pass from Tom Brady,18,20
