Unnamed: 0,NWE,DEN
First Downs,20,12
Rush-Yds-TDs,17-44-1,30-99-0
Cmp-Att-Yd-TD-INT,27-56-310-1-2,17-32-176-2-0
Sacked-Yards,4-18,3-31
Net Pass Yards,292,145
Total Yards,336,244
Fumbles-Lost,1-0,1-1
Turnovers,2,1
Penalties-Yards,7-53,7-51
Third Down Conv.,2-15,6-17
Fourth Down Conv.,2-4,0-0
Time of Possession,30:12,29:48
