Unnamed: 0,HOU,JAX
First Downs,19,19
Rush-Yds-TDs,22-72-1,36-107-0
Cmp-Att-Yd-TD-INT,22-37-240-1-3,15-28-238-2-0
Sacked-Yards,2-7,4-22
Net Pass Yards,233,216
Total Yards,305,323
Fumbles-Lost,1-0,2-1
Turnovers,3,1
Penalties-Yards,6-37,4-45
Third Down Conv.,5-15,8-16
Fourth Down Conv.,1-1,1-2
Time of Possession,29:53,30:07
