0,1
Officials,Officials
Referee,Gene Steratore
Umpire,Ruben Fowler
Head Linesman,Wayne Mackie
Line Judge,Ron Marinucci
Back Judge,Dino Paganelli
Side Judge,Mike Weatherford
Field Judge,Bob Waggoner
