Quarter,Time,Down,ToGo,Location,TEN,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Matt Bosher kicks off 70 yards, returned by Marc Mariani for 38 yards (tackle by Brent Grimes). Penalty on Jared Cook: Offensive Holding, 10 yards",0.000,-0.380
1,14:16,1,10,TEN 7,0,0,Chris Johnson right tackle for -3 yards (tackle by Jonathan Babineaux),-0.380,-1.000
1,14:12,2,13,TEN 4,0,0,Chris Johnson right guard for 6 yards (tackle by James Sanders),-1.000,-1.070
1,13:36,3,7,TEN 10,0,0,Matt Hasselbeck pass incomplete deep right intended for Lavelle Hawkins,-1.070,-2.490
1,13:30,4,7,TEN 10,0,0,Brett Kern punts 34 yards,-2.490,-2.650
1,13:23,1,10,TEN 44,0,0,Matt Ryan pass incomplete short right intended for Michael Turner,2.650,2.110
1,13:19,2,10,TEN 44,0,0,Michael Turner left end for 15 yards (tackle by Michael Griffin),2.110,3.640
1,12:35,1,10,TEN 29,0,0,"Michael Turner left guard for 4 yards (tackle by Karl Klug). Penalty on Will Svitek: Offensive Holding, 10 yards (no play)",3.640,2.980
1,12:06,1,20,TEN 39,0,0,Matt Ryan pass complete short middle to Tony Gonzalez for 9 yards (tackle by Derrick Morgan),2.980,2.970
1,11:27,2,11,TEN 30,0,0,Matt Ryan pass complete short middle to Tony Gonzalez for 13 yards (tackle by Cortland Finnegan),2.970,4.440
1,10:48,1,10,TEN 17,0,6,"Matt Ryan pass complete deep middle to Tony Gonzalez for 17 yards, touchdown",4.440,7.000
1,,,,TEN 2,0,7,Matt Bryant kicks extra point good,0.000,0.000
1,,,,ATL 35,0,7,"Matt Bosher kicks off 70 yards, returned by Marc Mariani for 26 yards (tackle by Stephen Nicholas)",0.000,0.340
1,10:36,1,10,TEN 21,0,7,Chris Johnson right end for 2 yards (tackle by Curtis Lofton),0.340,0.070
1,9:56,2,8,TEN 23,0,7,"Matt Hasselbeck pass complete deep left to Nate Washington for 25 yards (tackle by Thomas DeCoud). Penalty on Chris Johnson: Offensive Holding, 10 yards (no play)",0.070,-1.350
1,9:31,2,18,TEN 13,0,7,Matt Hasselbeck pass complete short left to Chris Johnson for 6 yards (tackle by Dunta Robinson),-1.350,-1.220
1,,3,12,TEN 19,0,7,Matt Hasselbeck pass complete short middle to Nate Washington for 17 yards (tackle by James Sanders),-1.220,1.330
1,,1,10,TEN 36,0,7,Matt Hasselbeck pass complete short right to Nate Washington for 9 yards (tackle by Sean Weatherspoon),1.330,2.010
1,7:27,2,1,TEN 45,0,7,Chris Johnson left guard for 2 yards (tackle by Curtis Lofton and Vance Walker),2.010,2.060
1,6:51,1,10,TEN 47,0,7,Chris Johnson left tackle for -4 yards (tackle by Jonathan Babineaux),2.060,0.980
1,6:11,2,14,TEN 43,0,7,Matt Hasselbeck pass incomplete short right intended for Lavelle Hawkins is intercepted by Dunta Robinson at ATL-42 and returned for 14 yards (tackle by Michael Roos),0.980,-2.650
,,,,,,,"TEN challenged the incomplete pass ruling, and the play was upheld.",,
1,6:01,1,10,TEN 44,0,7,Michael Turner right end for -3 yards (tackle by Barrett Ruud),2.650,1.710
1,5:17,2,13,TEN 47,0,7,Matt Ryan pass complete short right to Roddy White for 4 yards (tackle by Jason McCourty),1.710,1.550
1,4:43,3,9,TEN 43,0,7,"Matt Ryan pass complete short left to Harry Douglas for 3 yards (tackle by Akeem Ayers). Penalty on Chris Hope: Defensive Offside, 5 yards (no play)",1.550,2.210
1,4:15,3,4,TEN 38,0,7,Matt Ryan pass complete short right to Jason Snelling for 4 yards (tackle by Jason McCourty),2.210,3.310
1,3:29,1,10,TEN 34,0,7,Michael Turner left end for 9 yards (tackle by Chris Hope),3.310,3.990
1,2:43,2,1,TEN 25,0,7,Michael Turner up the middle for 4 yards (tackle by Barrett Ruud),3.990,4.170
1,2:23,1,10,TEN 21,0,7,Matt Ryan pass incomplete deep right intended for Roddy White,4.170,3.630
1,2:18,2,10,TEN 21,0,7,Michael Turner up the middle for 4 yards (tackle by Jason Jones),3.630,3.460
1,1:36,3,6,TEN 17,0,7,Matt Ryan pass complete short right to Roddy White for 12 yards (tackle by Jason McCourty),3.460,6.060
1,0:55,1,5,TEN 5,0,7,Matt Ryan pass incomplete short right intended for Roddy White,6.060,5.150
1,0:46,2,5,TEN 5,0,7,Michael Turner left end for 4 yards (tackle by Michael Griffin),5.150,5.170
Quarter,Time,Down,ToGo,Location,TEN,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,TEN 1,0,7,Michael Turner left guard for no gain (tackle by Akeem Ayers),5.170,3.550
2,14:12,4,1,TEN 1,0,10,Matt Bryant 19 yard field goal good,3.550,3.000
2,,,,ATL 35,0,10,"Matt Bosher kicks off 65 yards, touchback",0.000,0.280
2,14:08,1,10,TEN 20,0,10,Matt Hasselbeck pass incomplete short right intended for Lavelle Hawkins (defended by Ray Edwards),0.280,-0.270
2,14:04,2,10,TEN 20,0,10,Chris Johnson left end for 2 yards (tackle by Kelvin Hayden and Curtis Lofton),-0.270,-0.690
2,13:58,3,8,TEN 22,0,10,Matt Hasselbeck left end for 17 yards,-0.690,1.530
2,12:40,1,10,TEN 39,0,10,Matt Hasselbeck pass incomplete short left intended for Damian Williams (defended by Dunta Robinson),1.530,0.990
2,12:35,2,10,TEN 39,0,10,"Chris Johnson right end for no gain (tackle by Jonathan Babineaux). Penalty on Jake Scott: Offensive Holding, 10 yards (no play)",0.990,-0.360
2,12:09,2,20,TEN 29,0,10,Matt Hasselbeck pass complete short right to Chris Johnson for 4 yards (tackle by Ray Edwards),-0.360,-0.490
2,11:22,3,16,TEN 33,0,10,Matt Hasselbeck pass incomplete deep right intended for Damian Williams (defended by Brent Grimes),-0.490,-1.180
2,11:16,4,16,TEN 33,0,10,"Brett Kern punts 57 yards, returned by Eric Weems for 11 yards (tackle by Tim Shaw)",-1.180,-0.340
2,11:04,1,10,ATL 21,0,10,Matt Ryan pass complete deep middle to Harry Douglas for 21 yards (tackle by Alterraun Verner),0.340,1.730
2,10:37,1,10,ATL 42,0,10,Michael Turner left tackle for 6 yards (tackle by Jordan Babineaux),1.730,2.000
2,9:53,2,4,ATL 48,0,10,Michael Turner left end for 35 yards (tackle by Cortland Finnegan),2.000,4.440
2,9:32,1,10,TEN 17,0,10,Jason Snelling up the middle for 4 yards (tackle by Jordan Babineaux),4.440,4.500
2,9:06,2,6,TEN 13,0,10,Jason Snelling left guard for 1 yard (tackle by Jason Jones and William Hayes),4.500,3.880
2,8:24,3,5,TEN 12,0,10,"Matt Ryan pass complete short left to Jason Snelling for 4 yards (tackle by Akeem Ayers and Alterraun Verner). Penalty on Eric Weems: Offensive Pass Interference, 10 yards (no play)",3.880,2.540
2,7:53,3,15,TEN 22,0,10,Matt Ryan pass complete short right to Eric Weems for 7 yards (tackle by Jason McCourty),2.540,2.440
2,7:23,4,8,TEN 15,0,13,Matt Bryant 33 yard field goal good,2.440,3.000
2,,,,ATL 35,0,13,"Matt Bosher kicks off 67 yards, returned by Marc Mariani for 16 yards (tackle by Antone Smith)",0.000,-0.280
2,7:13,1,10,TEN 14,0,13,Chris Johnson left tackle for 2 yards (tackle by Jonathan Babineaux),-0.280,-0.510
2,6:45,2,8,TEN 16,0,13,Chris Johnson right end for 2 yards (tackle by James Sanders),-0.510,-0.920
2,6:15,3,6,TEN 18,0,13,Matt Hasselbeck pass complete short left to Nate Washington for 8 yards (tackle by Curtis Lofton),-0.920,0.670
2,5:41,1,10,TEN 26,0,13,Chris Johnson left tackle for 3 yards (tackle by Kelvin Hayden),0.670,0.540
2,5:13,2,7,TEN 29,0,13,Matt Hasselbeck pass incomplete short middle intended for Javon Ringer (defended by Jonathan Babineaux),0.540,-0.160
2,5:06,3,7,TEN 29,0,13,Matt Hasselbeck pass complete short left to Javon Ringer for 9 yards (tackle by Sean Weatherspoon),-0.160,1.470
2,4:30,1,10,TEN 38,0,13,Matt Hasselbeck pass incomplete short right intended for Javon Ringer,1.470,0.920
2,4:24,2,10,TEN 38,0,13,Matt Hasselbeck pass complete short right to Jared Cook for -4 yards (tackle by Curtis Lofton),0.920,-0.290
2,3:45,3,14,TEN 34,0,13,Matt Hasselbeck pass incomplete short right intended for Jared Cook,-0.290,-1.110
2,3:41,4,14,TEN 34,0,13,"Brett Kern punts 43 yards, fair catch by Eric Weems",-1.110,-0.480
2,3:33,1,10,ATL 23,0,13,"Matt Ryan pass complete short right to Roddy White for 5 yards (tackle by Jason McCourty). Penalty on SenDerrick Marks: Defensive Offside, 5 yards (no play)",0.480,1.210
2,3:04,1,5,ATL 28,0,13,Matt Ryan right end for 7 yards,1.210,1.270
2,2:25,1,10,ATL 35,0,13,"Matt Ryan pass complete short right to Eric Weems for 5 yards (tackle by Jordan Babineaux). Penalty on William Hayes: Roughing the Passer, 15 yards",1.270,2.590
2,2:02,1,10,TEN 45,0,13,Michael Turner left tackle for -1 yards (tackle by Akeem Ayers),2.590,1.910
2,2:00,2,11,TEN 46,0,13,Matt Ryan pass incomplete deep middle intended for Tony Gonzalez,1.910,1.220
