Unnamed: 0,TEN,ATL
First Downs,17,25
Rush-Yds-TDs,14-41-0,36-116-1
Cmp-Att-Yd-TD-INT,22-44-264-2-1,22-32-316-1-0
Sacked-Yards,1-7,0-0
Net Pass Yards,257,316
Total Yards,298,432
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,10-86,5-55
Third Down Conv.,8-14,4-12
Fourth Down Conv.,1-1,1-1
Time of Possession,23:01,36:59
