Quarter,Time,Tm,Detail,TEN,ATL
1.0,10:41,Falcons,Tony Gonzalez 17 yard pass from Matt Ryan (Matt Bryant kick),0,7
2.0,14:08,Falcons,Matt Bryant 19 yard field goal,0,10
,7:18,Falcons,Matt Bryant 33 yard field goal,0,13
,0:02,Titans,Rob Bironas 46 yard field goal,3,13
3.0,11:56,Falcons,Michael Turner 4 yard rush (Matt Bryant kick),3,20
,3:07,Falcons,Matt Bryant 24 yard field goal,3,23
,2:00,Titans,Nate Washington 40 yard pass from Jake Locker (Rob Bironas kick),10,23
4.0,3:06,Titans,Nate Washington 4 yard pass from Jake Locker (Rob Bironas kick),17,23
