Unnamed: 0,DEN,MIA
First Downs,18,15
Rush-Yds-TDs,40-177-0,31-94-0
Cmp-Att-Yd-TD-INT,13-27-161-2-0,22-33-197-1-0
Sacked-Yards,6-30,4-24
Net Pass Yards,131,173
Total Yards,308,267
Fumbles-Lost,2-1,2-1
Turnovers,1,1
Penalties-Yards,5-30,2-20
Third Down Conv.,4-16,3-14
Fourth Down Conv.,0-0,0-0
Time of Possession,34:17,33:19
