Unnamed: 0,GNB,CHI
First Downs,24,12
Rush-Yds-TDs,29-100-0,12-13-0
Cmp-Att-Yd-TD-INT,28-38-297-3-1,21-37-302-2-2
Sacked-Yards,2-5,3-24
Net Pass Yards,292,278
Total Yards,392,291
Fumbles-Lost,2-1,2-0
Turnovers,2,2
Penalties-Yards,7-35,10-70
Third Down Conv.,5-13,3-12
Fourth Down Conv.,0-0,0-1
Time of Possession,37:29,22:31
