Quarter,Time,Down,ToGo,Location,PHI,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Giants to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 66 yards, returned by Jawill Davis for no gain (tackle by Jalen Mills)",0.000,0.610
1,14:57,1,10,NYG 25,0,0,Eli Manning pass complete short right to Cody Latimer for 8 yards (tackle by Jalen Mills and Sidney Jones),0.610,1.140
1,14:24,2,2,NYG 33,0,0,Eli Manning pass short middle (defended by Jordan Hicks) intended for Scott Simonson is intercepted by Kamu Grugier-Hill at NYG-40 and returned for 24 yards,1.140,-4.510
1,14:15,1,10,NYG 16,0,0,Carson Wentz pass incomplete short right intended for Zach Ertz,4.510,3.900
1,14:11,2,10,NYG 16,0,0,Wendell Smallwood left end for 3 yards (tackle by Damon Harrison),3.900,3.540
1,13:27,3,7,NYG 13,6,0,"Carson Wentz pass complete short right to Alshon Jeffery for 13 yards, touchdown. Penalty on Alec Ogletree: Illegal Contact (Declined)",3.540,7.000
1,13:15,,,NYG 15,7,0,Jake Elliott kicks extra point good,0.000,0.000
1,13:15,,,PHI 35,7,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,13:15,1,10,NYG 25,7,0,Saquon Barkley left tackle for 4 yards (tackle by Derek Barnett and Fletcher Cox),0.610,0.600
1,12:33,2,6,NYG 29,7,0,Eli Manning pass complete short middle to Saquon Barkley for 7 yards (tackle by Malcolm Jenkins and Jordan Hicks),0.600,1.330
1,11:50,1,10,NYG 36,7,0,Saquon Barkley right tackle for 46 yards (tackle by Avonte Maddox),1.330,4.370
1,11:03,1,10,PHI 18,7,0,Wayne Gallman right end for 3 yards (tackle by Jalen Mills),4.370,4.250
1,10:21,2,7,PHI 15,7,0,Eli Manning pass incomplete short left intended for Sterling Shepard (defended by Ronald Darby),4.250,3.460
1,10:15,3,7,PHI 15,7,0,Eli Manning pass incomplete short left intended for Sterling Shepard,3.460,2.440
1,10:09,4,7,PHI 15,7,3,Aldrick Rosas 33 yard field goal good,2.440,3.000
1,10:06,,,NYG 35,7,3,"Aldrick Rosas kicks off 65 yards, returned by DeAndre Carter for no gain (tackle by Nathan Stupar)",0.000,-0.280
1,10:00,1,10,PHI 14,7,3,Carson Wentz pass complete short middle to Dallas Goedert for 7 yards (tackle by B.J. Goodson),-0.280,0.280
1,9:29,2,3,PHI 21,7,3,Wendell Smallwood left end for -4 yards (tackle by Kerry Wynn),0.280,-1.040
1,8:45,3,7,PHI 17,7,3,Carson Wentz pass complete short middle to Nelson Agholor for 32 yards (tackle by Michael Thomas),-1.040,2.190
1,8:02,1,10,PHI 49,7,3,"Carson Wentz pass incomplete deep left intended for Alshon Jeffery. Penalty on Jason Peters: Offensive Holding, 10 yards (no play)",2.190,1.530
1,7:56,1,20,PHI 39,7,3,Carson Wentz pass incomplete short middle intended for Nelson Agholor,1.530,0.300
1,7:50,2,20,PHI 39,7,3,Carson Wentz pass incomplete short middle intended for Jordan Matthews,0.300,-0.360
1,7:46,3,20,PHI 39,7,3,Carson Wentz pass complete short right to DeAndre Carter for 11 yards (tackle by B.W. Webb and Landon Collins),-0.360,-0.060
1,7:01,4,9,PHI 50,7,3,"Cameron Johnston punts 41 yards, fair catch by Odell Beckham at NYG-9",-0.060,0.380
1,6:56,1,10,NYG 9,7,3,"Eli Manning sacked by Michael Bennett for -8 yards. Eli Manning fumbles (forced by Michael Bennett), recovered by Nate Solder at NYG-1 (tackle by Michael Bennett)",-0.380,-1.360
1,6:12,2,18,NYG 1,7,3,Saquon Barkley left guard for 3 yards (tackle by Malcolm Jenkins and Chris Long),-1.360,-2.010
1,5:34,3,15,NYG 4,7,3,Eli Manning pass complete short right to Odell Beckham for 12 yards (tackle by Malcolm Jenkins),-2.010,-2.390
1,5:03,4,3,NYG 16,7,3,"Riley Dixon punts 51 yards, returned by DeAndre Carter for 23 yards (tackle by Nathan Stupar)",-2.390,-2.650
1,4:49,1,10,NYG 44,7,3,Carson Wentz pass complete short right to Alshon Jeffery for 4 yards (tackle by Alec Ogletree),2.650,2.650
1,4:17,2,6,NYG 40,7,3,Carson Wentz pass complete short middle to Alshon Jeffery for 17 yards (tackle by Eli Apple and Curtis Riley),2.650,4.040
1,3:35,1,10,NYG 23,7,3,Wendell Smallwood left guard for 8 yards (tackle by B.J. Goodson and Janoris Jenkins),4.040,4.750
1,2:55,2,2,NYG 15,7,3,Corey Clement right tackle for 14 yards (tackle by Curtis Riley),4.750,6.970
1,2:13,1,1,NYG 1,7,3,Carson Wentz pass complete short right to Corey Clement for no gain (tackle by Landon Collins),6.970,5.910
1,1:32,2,1,NYG 1,13,3,"Corey Clement left guard for 1 yard, touchdown",5.910,7.000
1,1:28,,,NYG 15,14,3,Jake Elliott kicks extra point good,0.000,0.000
1,1:28,,,PHI 35,14,3,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,1:28,1,10,NYG 25,14,3,Saquon Barkley left tackle for no gain (tackle by Fletcher Cox),0.610,0.060
1,0:51,2,10,NYG 25,14,3,"Penalty on Michael Bennett: Neutral Zone Infraction, 5 yards (no play)",0.060,0.740
1,0:36,2,5,NYG 30,14,3,Eli Manning pass incomplete deep left intended for Odell Beckham (defended by Ronald Darby),0.740,0.040
