Quarter,Time,Tm,Detail,PHI,NYG
1.0,13:15,Eagles,Alshon Jeffery 13 yard pass from Carson Wentz (Jake Elliott kick),7,0
,10:06,Giants,Aldrick Rosas 33 yard field goal,7,3
,1:28,Eagles,Corey Clement 1 yard rush (Jake Elliott kick),14,3
2.0,5:44,Giants,Aldrick Rosas 21 yard field goal,14,6
,4:22,Eagles,Zach Ertz 10 yard pass from Carson Wentz (Jake Elliott kick),21,6
,1:29,Eagles,Jake Elliott 33 yard field goal,24,6
3.0,8:42,Eagles,Alshon Jeffery 1 yard pass from Carson Wentz (Jake Elliott kick),31,6
,6:10,Giants,Saquon Barkley 50 yard rush (Aldrick Rosas kick),31,13
4.0,14:52,Eagles,Jake Elliott 30 yard field goal,34,13
