Quarter,Time,Down,ToGo,Location,GNB,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss and deferred, Packers to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Zane Gonzalez kicks off 63 yards, returned by Trevor Davis for 24 yards (tackle by B.J. Bello)",0.000,-0.670
1,14:55,1,10,GNB 26,0,0,Brett Hundley pass complete short right to Jordy Nelson for 12 yards (tackle by James Burgess),0.670,1.470
1,14:22,1,10,GNB 38,0,0,Jamaal Williams left guard for no gain (tackle by Joe Schobert),1.470,0.920
1,13:48,2,10,GNB 38,0,0,Brett Hundley pass complete short left to Randall Cobb for 4 yards (tackle by Kai Nacua),0.920,0.760
1,12:58,3,6,GNB 42,0,0,Brett Hundley pass complete short right to Randall Cobb for 4 yards (tackle by Christian Kirksey),0.760,-0.320
1,12:14,4,2,GNB 46,0,0,Jermaine Whitehead left end for 7 yards (tackle by Jamar Taylor),-0.320,2.460
1,11:45,1,10,CLE 47,0,0,Jamaal Williams right guard for 3 yards (tackle by Carl Nassib and Trevon Coley),2.460,2.320
1,11:05,2,7,CLE 44,0,0,Jamaal Williams left guard for 6 yards (tackle by Christian Kirksey),2.320,2.410
1,10:22,3,1,CLE 38,0,0,Brett Hundley pass incomplete short right intended for Aaron Ripkowski,2.410,0.720
1,10:15,4,1,CLE 38,0,0,Brett Hundley pass complete short left to Randall Cobb for 8 yards (tackle by Jason McCourty),0.720,3.580
1,9:41,1,10,CLE 30,0,0,Jamaal Williams right tackle for no gain (tackle by James Burgess and Christian Kirksey),3.580,3.030
1,8:57,2,10,CLE 30,6,0,"Brett Hundley pass complete deep right to Jamaal Williams for 30 yards, touchdown",3.030,7.000
1,8:50,,,CLE 15,7,0,Mason Crosby kicks extra point good,0.000,0.000
1,8:50,,,GNB 35,7,0,"Mason Crosby kicks off 57 yards, returned by Matthew Dayes for 8 yards (tackle by Jermaine Whitehead)",0.000,0.140
1,8:47,1,10,CLE 16,7,0,DeShone Kizer pass complete deep left to Josh Gordon for 38 yards,-0.140,2.520
1,8:21,1,10,GNB 46,7,0,Isaiah Crowell right guard for 4 yards (tackle by Ha Ha Clinton-Dix and Blake Martinez),2.520,2.520
1,7:37,2,6,GNB 42,7,0,Isaiah Crowell right tackle for 1 yard (tackle by Jake Ryan),2.520,1.950
1,6:55,3,5,GNB 41,7,0,DeShone Kizer left end for 8 yards (tackle by Jermaine Whitehead),1.950,3.380
