Unnamed: 0,GNB,CLE
First Downs,24,17
Rush-Yds-TDs,27-85-1,27-136-0
Cmp-Att-Yd-TD-INT,35-46-265-3-0,20-28-214-3-2
Sacked-Yards,1-9,2-5
Net Pass Yards,256,209
Total Yards,341,345
Fumbles-Lost,0-0,1-0
Turnovers,0,2
Penalties-Yards,3-20,6-45
Third Down Conv.,8-16,7-13
Fourth Down Conv.,2-3,0-0
Time of Possession,36:17,28:38
