Unnamed: 0,NOR,CHI
First Downs,15,18
Rush-Yds-TDs,12-56-0,46-196-3
Cmp-Att-Yd-TD-INT,27-49-354-2-1,11-26-144-1-0
Sacked-Yards,3-35,0-0
Net Pass Yards,319,144
Total Yards,375,340
Fumbles-Lost,4-3,1-0
Turnovers,4,0
Penalties-Yards,7-47,1-5
Third Down Conv.,5-13,3-16
Fourth Down Conv.,0-2,2-2
Time of Possession,24:45,35:15
