Unnamed: 0,ARI,SEA
First Downs,29,16
Rush-Yds-TDs,33-95-1,19-86-1
Cmp-Att-Yd-TD-INT,35-44-328-2-0,14-26-207-0-0
Sacked-Yards,2-10,4-27
Net Pass Yards,318,180
Total Yards,413,266
Fumbles-Lost,4-0,2-0
Turnovers,0,0
Penalties-Yards,3-32,2-17
Third Down Conv.,7-14,2-10
Fourth Down Conv.,1-1,0-1
Time of Possession,40:22,19:38
