Quarter,Time,Tm,Detail,ARI,SEA
1.0,2:47,Cardinals,Zach Ertz 1 yard pass from Colt McCoy (Matt Prater kick),7,0
2.0,8:23,Seahawks,Jason Myers 27 yard field goal,7,3
,1:52,Cardinals,Zach Ertz 2 yard pass from Colt McCoy (Matt Prater kick failed),13,3
,1:05,Seahawks,Jason Myers 27 yard field goal,13,6
3.0,12:57,Cardinals,Matt Prater 53 yard field goal,16,6
4.0,7:05,Seahawks,DeeJay Dallas 2 yard rush (Jason Myers kick),16,13
,2:20,Cardinals,James Conner 1 yard rush (Matt Prater kick),23,13
