Unnamed: 0,CAR,TAM
First Downs,27,18
Rush-Yds-TDs,19-168-0,25-95-1
Cmp-Att-Yd-TD-INT,28-42-300-2-4,20-30-249-2-0
Sacked-Yards,4-24,4-29
Net Pass Yards,276,220
Total Yards,444,315
Fumbles-Lost,1-0,2-1
Turnovers,4,1
Penalties-Yards,7-104,9-69
Third Down Conv.,3-8,6-13
Fourth Down Conv.,0-1,0-0
Time of Possession,30:06,29:54
