Quarter,Time,Down,ToGo,Location,CAR,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,TAM 25,0,0,Jameis Winston pass complete short right to Adam Humphries for 11 yards (tackle by Captain Munnerlyn),0.610,1.330
1,14:29,1,10,TAM 36,0,0,Peyton Barber up the middle for 3 yards (tackle by Wes Horton and Kawann Short),1.330,1.200
1,14:04,2,7,TAM 39,0,0,Jameis Winston pass complete short left to Adam Humphries for 5 yards (tackle by Donte Jackson),1.200,1.160
1,13:35,3,2,TAM 44,0,0,Jameis Winston pass complete short left to Chris Godwin for 10 yards (tackle by Donte Jackson),1.160,2.520
1,13:00,1,10,CAR 46,0,0,Jameis Winston left end for 6 yards (tackle by Wes Horton),2.520,2.790
1,12:27,2,4,CAR 40,0,0,Peyton Barber up the middle for 17 yards (tackle by Eric Reid),2.790,4.040
1,11:50,1,10,CAR 23,0,0,Peyton Barber up the middle for -1 yards (tackle by Thomas Davis and Luke Kuechly),4.040,3.360
1,11:12,2,11,CAR 24,0,0,Jameis Winston up the middle for 18 yards (tackle by Shaq Thompson),3.360,5.830
1,10:30,1,6,CAR 6,0,0,Peyton Barber left end for 3 yards (tackle by Thomas Davis),5.830,5.530
1,9:58,2,3,CAR 3,0,0,Jameis Winston pass incomplete short middle intended for Cameron Brate (defended by Shaq Thompson),5.530,4.720
1,9:53,3,3,CAR 3,0,6,"Jameis Winston pass complete short left to Adam Humphries for 3 yards, touchdown",4.720,7.000
1,9:46,,,CAR 15,0,7,"Cairo Santos kicks extra point good. Penalty on Donte Jackson: Defensive Offside, 5 yards",0.000,0.000
1,9:46,,,TAM 40,0,7,"Cairo Santos kicks off 60 yards, touchback.",0.000,0.610
1,9:46,1,10,CAR 25,0,7,Cam Newton left end for 2 yards (tackle by Lavonte David),0.610,0.330
1,9:07,2,8,CAR 27,0,7,Cam Newton sacked by Kevin Minter for -8 yards,0.330,-1.510
1,8:22,3,16,CAR 19,0,7,Cam Newton pass deep middle (defended by Lavonte David) intended for D.J. Moore is intercepted by Andrew Adams at CAR-36 and returned for 16 yards,-1.510,-4.240
1,8:11,1,10,CAR 20,0,7,Jameis Winston pass incomplete short middle intended for Peyton Barber (defended by Luke Kuechly),4.240,3.690
1,8:07,2,10,CAR 20,0,7,Peyton Barber right tackle for 1 yard (tackle by Eric Reid),3.690,3.100
1,7:22,3,9,CAR 19,0,7,Jameis Winston left end for 2 yards (tackle by Captain Munnerlyn),3.100,2.310
1,6:44,4,7,CAR 17,0,10,Cairo Santos 35 yard field goal good,2.310,3.000
1,6:41,,,TAM 35,0,10,"Cairo Santos kicks off 65 yards, returned by Kenjon Barner for no gain (tackle by Cameron Lynch)",0.000,0.740
1,6:36,1,10,CAR 27,0,10,Christian McCaffrey up the middle for no gain (tackle by Jason Pierre-Paul and Lavonte David),0.740,0.200
1,5:53,2,10,CAR 27,0,10,"Cam Newton pass incomplete short middle intended for Greg Olsen. Penalty on Adarius Taylor: Defensive Pass Interference, 4 yards (no play)",0.200,1.000
1,5:48,1,10,CAR 31,0,10,D.J. Moore left end for 8 yards (tackle by Ryan Smith),1.000,1.540
1,5:02,2,2,CAR 39,0,10,Christian McCaffrey up the middle for 53 yards (tackle by Justin Evans),1.540,5.370
1,4:20,1,8,TAM 8,6,10,"Cam Newton pass complete short right to Christian McCaffrey for 8 yards, touchdown",5.370,7.000
1,4:14,,,TAM 15,7,10,Graham Gano kicks extra point good,0.000,0.000
1,4:14,,,CAR 35,7,10,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
1,4:14,1,10,TAM 25,7,10,Peyton Barber up the middle for 10 yards (tackle by Thomas Davis),0.610,1.270
1,3:37,1,10,TAM 35,7,10,Jameis Winston pass complete short right to Mike Evans for 5 yards (tackle by James Bradberry),1.270,1.400
1,3:06,2,5,TAM 40,7,10,Peyton Barber up the middle for 1 yard (tackle by Kyle Love and Eric Reid),1.400,0.830
1,2:28,3,4,TAM 41,7,10,Jameis Winston sacked by Kyle Love and Mario Addison for -5 yards,0.830,-0.980
1,1:54,4,9,TAM 36,7,10,"Bryan Anger punts 49 yards, muffed catch by Kenjon Barner",-0.980,-0.280
1,1:43,1,10,CAR 20,7,10,Cam Newton pass complete short right to Greg Olsen for 13 yards (tackle by Isaiah Johnson),0.280,1.140
1,1:05,1,10,CAR 33,7,10,Christian McCaffrey left end for 10 yards (tackle by Justin Evans),1.140,1.800
1,0:26,1,10,CAR 43,7,10,Cam Newton sacked by Lavonte David for -7 yards,1.800,0.310
Quarter,Time,Down,ToGo,Location,CAR,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,17,CAR 36,7,10,Cam Newton pass complete short middle to Christian McCaffrey for 10 yards (tackle by Gerald McCoy),0.310,0.960
2,14:18,3,7,CAR 46,7,10,Cam Newton pass incomplete short left intended for Curtis Samuel,0.960,-0.320
2,14:12,4,7,CAR 46,7,10,"Michael Palardy punts 54 yards, touchback.",-0.320,-0.280
2,14:03,1,10,TAM 20,7,10,Jameis Winston pass complete short left to Mike Evans for 7 yards (tackle by James Bradberry and Thomas Davis),0.280,0.680
2,13:29,2,3,TAM 27,7,10,Jameis Winston pass complete short middle to Chris Godwin for 48 yards (tackle by Donte Jackson),0.680,3.910
2,12:43,1,10,CAR 25,7,10,Ronald Jones left guard for 3 yards (tackle by Bryan Cox),3.910,3.770
2,12:05,2,7,CAR 22,7,10,Ronald Jones left guard for 3 yards (tackle by Donte Jackson and Thomas Davis),3.770,3.490
2,11:27,3,4,CAR 19,7,10,Jameis Winston pass complete short left to Adam Humphries for 13 yards (tackle by Captain Munnerlyn),3.490,5.830
2,10:45,1,6,CAR 6,7,10,Peyton Barber up the middle for 2 yards (tackle by Julius Peppers),5.830,5.340
2,10:03,2,4,CAR 4,7,10,"Peyton Barber up the middle for 3 yards. Peyton Barber fumbles, recovered by Luke Kuechly at CAR-0",5.340,-0.280
2,9:51,1,10,CAR 20,7,10,"Christian McCaffrey right end for no gain (tackle by Adarius Taylor). Penalty on Taylor Moton: Offensive Holding, 10 yards (no play)",0.280,-0.760
2,9:21,1,20,CAR 10,7,10,"Penalty on Cam Newton: False Start, 5 yards (no play)",-0.760,-0.950
2,9:02,1,25,CAR 5,7,10,Cam Newton pass complete short middle to Curtis Samuel for 12 yards (tackle by De'Vante Harris),-0.950,-0.790
2,8:29,2,13,CAR 17,7,10,Cam Newton pass complete short left to Ian Thomas for no gain (tackle by Adarius Taylor),-0.790,-1.510
2,7:47,3,13,CAR 17,7,10,Cam Newton right end for 1 yard (tackle by William Gholston),-1.510,-2.240
2,7:06,4,12,CAR 18,7,10,"Michael Palardy punts 59 yards, muffed catch by Adam Humphries, recovered by Adam Humphries at TB-23, returned by Adam Humphries for no gain (tackle by Kenjon Barner)",-2.240,-0.480
2,6:55,1,10,TAM 23,7,10,Jameis Winston pass complete deep middle to Mike Evans for 16 yards (tackle by James Bradberry),0.480,1.530
2,6:30,1,10,TAM 39,7,10,Peyton Barber left guard for -1 yards (tackle by Dontari Poe),1.530,0.850
2,5:47,2,11,TAM 38,7,10,Jameis Winston sacked by Efe Obada for -8 yards,0.850,-0.890
2,5:07,3,19,TAM 30,7,10,Jameis Winston sacked by Kawann Short for -10 yards,-0.890,-2.030
2,4:29,4,29,TAM 20,7,10,"Bryan Anger punts 51 yards, returned by Kenjon Barner for 6 yards (tackle by Bryan Anger). Penalty on Ben Jacobs: Illegal Block Above the Waist, 10 yards",-2.030,-0.610
2,4:14,1,10,CAR 25,7,10,Cam Newton right end for 15 yards (tackle by De'Vante Harris),0.610,1.600
2,3:34,1,10,CAR 40,7,10,Christian McCaffrey right end for no gain (tackle by Kevin Minter and Jordan Whitehead),1.600,1.050
2,2:51,2,10,CAR 40,7,10,Cam Newton right end for 11 yards (tackle by Adarius Taylor),1.050,2.320
2,2:08,1,10,TAM 49,7,10,Cam Newton pass complete short middle to Christian McCaffrey for 11 yards (tackle by Kevin Minter),2.320,3.050
2,2:00,1,10,TAM 38,7,10,Christian McCaffrey right guard for 13 yards (tackle by Jordan Whitehead and Lavonte David),3.050,3.910
2,1:23,1,10,TAM 25,7,10,Cam Newton pass incomplete deep right intended for Curtis Samuel (defended by De'Vante Harris),3.910,3.360
2,1:16,2,10,TAM 25,7,10,Cam Newton pass short left intended for D.J. Moore is intercepted by Javien Elliott at TB-18 and returned for 50 yards,3.360,-3.450
2,1:05,1,10,CAR 32,7,10,Jameis Winston pass incomplete deep left intended for Cameron Brate (defended by Captain Munnerlyn),3.450,2.900
2,1:01,2,10,CAR 32,7,10,Jameis Winston pass complete deep right to Mike Evans for 20 yards (tackle by James Bradberry),2.900,4.780
2,0:51,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
2,0:51,1,10,CAR 12,7,10,Jameis Winston pass complete short left to Cameron Brate for 9 yards (tackle by Thomas Davis),4.780,5.790
2,0:30,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
2,0:30,2,1,CAR 3,7,10,"Peyton Barber up the middle for no gain (tackle by Kawann Short). Penalty on Donovan Smith: Offensive Holding, 10 yards (no play)",5.790,3.940
2,0:26,2,11,CAR 13,7,10,Jameis Winston pass incomplete short left intended for Chris Godwin (defended by Eric Reid),3.940,3.100
2,0:20,3,11,CAR 13,7,16,"Jameis Winston pass complete short right to Chris Godwin for 13 yards, touchdown",3.100,7.000
2,0:13,,,CAR 15,7,17,Cairo Santos kicks extra point good,0.000,0.000
2,0:13,,,TAM 35,7,17,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
2,0:13,1,10,CAR 25,7,17,Cam Newton kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,CAR,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 35,7,17,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,CAR 25,7,17,Christian McCaffrey left end for 2 yards (tackle by Adarius Taylor),0.610,0.330
3,14:23,2,8,CAR 27,7,17,Cam Newton pass complete short middle to D.J. Moore for 16 yards (tackle by Isaiah Johnson),0.330,1.800
3,13:53,1,10,CAR 43,7,17,Cam Newton pass complete short left to D.J. Moore for 12 yards (tackle by Ryan Smith),1.800,2.590
3,13:17,1,10,TAM 45,7,17,Cam Newton pass incomplete deep middle intended for Curtis Samuel (defended by Ryan Smith),2.590,2.040
3,13:11,2,10,TAM 45,7,17,Cam Newton pass complete short right to Jarius Wright for 33 yards (tackle by Jordan Whitehead),2.040,4.780
3,12:37,1,10,TAM 12,7,17,Cam Newton sacked by Vinny Curry for -5 yards,4.780,3.420
3,11:55,2,15,TAM 17,7,17,Cam Newton pass complete short right to Curtis Samuel for 8 yards (tackle by Jordan Whitehead),3.420,3.700
3,11:14,3,7,TAM 9,7,17,"Cam Newton pass complete short left to Devin Funchess for 9 yards. Penalty on Chris Clark: Offensive Holding, 10 yards (no play)",3.700,2.610
3,11:07,3,17,TAM 19,7,17,Cam Newton pass incomplete short right intended for Christian McCaffrey,2.610,2.180
3,11:02,4,17,TAM 19,10,17,Graham Gano 37 yard field goal good,2.180,3.000
