Unnamed: 0,TAM,BUF
First Downs,17,25
Rush-Yds-TDs,17-78-0,26-115-1
Cmp-Att-Yd-TD-INT,25-42-237-2-0,31-40-324-2-1
Sacked-Yards,3-13,2-12
Net Pass Yards,224,312
Total Yards,302,427
Fumbles-Lost,2-0,0-0
Turnovers,0,1
Penalties-Yards,11-74,9-86
Third Down Conv.,4-15,7-13
Fourth Down Conv.,1-1,0-1
Time of Possession,28:03,31:57
