Quarter,Time,Tm,Detail,TAM,BUF
1.0,8:04,Bills,Tyler Bass 37 yard field goal,0,3
2.0,11:03,Bills,Josh Allen 13 yard rush (Tyler Bass kick),0,10
,7:40,Buccaneers,Chase McLaughlin 57 yard field goal,3,10
,6:46,Buccaneers,Chris Godwin 3 yard pass from Baker Mayfield (Chase McLaughlin kick),10,10
,2:40,Bills,Dalton Kincaid 22 yard pass from Josh Allen (Tyler Bass kick),10,17
3.0,10:40,Bills,Gabriel Davis 4 yard pass from Josh Allen (Tyler Bass kick),10,24
4.0,2:40,Buccaneers,Mike Evans 24 yard pass from Baker Mayfield (Cade Otton pass from Baker Mayfield),18,24
