Unnamed: 0,BAL,MIA
First Downs,23,17
Rush-Yds-TDs,23-94-0,22-60-1
Cmp-Att-Yd-TD-INT,26-43-238-1-1,19-36-314-0-0
Sacked-Yards,4-28,4-24
Net Pass Yards,210,290
Total Yards,304,350
Fumbles-Lost,2-1,2-0
Turnovers,2,0
Penalties-Yards,4-20,11-97
Third Down Conv.,2-14,3-13
Fourth Down Conv.,0-0,0-0
Time of Possession,31:48,28:12
