Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Devonta Freeman,BAL,10,35,0,3,17,1.7,18,1.8,1,10.0
Lamar Jackson,BAL,9,39,0,3,23,2.6,16,1.8,0,
Le'Veon Bell,BAL,3,1,0,,0,0.0,1,0.3,1,3.0
Devin Duvernay,BAL,1,19,0,1,19,19.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Myles Gaskin,MIA,14,31,0,1,20,1.4,11,0.8,0,
Tua Tagovailoa,MIA,3,0,1,1,0,0.0,0,0.0,0,
Salvon Ahmed,MIA,2,6,0,1,4,2.0,2,1.0,0,
Albert Wilson,MIA,2,19,0,1,0,0.0,19,9.5,1,2.0
Jacoby Brissett,MIA,1,4,0,0,0,0.0,4,4.0,0,
