Quarter,Time,Tm,Detail,BAL,MIA
1.0,9:48,Ravens,Justin Tucker 46 yard field goal,3,0
2.0,6:18,Dolphins,Jason Sanders 31 yard field goal,3,3
,0:03,Dolphins,Jason Sanders 22 yard field goal,3,6
4.0,12:34,Dolphins,Jason Sanders 29 yard field goal,3,9
,11:23,Dolphins,Xavien Howard 49 yard fumble return (pass failed),3,15
,4:11,Ravens,Mark Andrews 5 yard pass from Lamar Jackson (Justin Tucker kick),10,15
,2:19,Dolphins,Tua Tagovailoa 1 yard rush (Jason Sanders kick),10,22
