Quarter,Time,Down,ToGo,Location,SEA,BUF,Detail,EPB,EPA
1,9:43,4,13,SEA 33,0,0,Ryan Plackemeier punts 31 yards,-1.180,-1.330
1,9:35,1,10,BUF 36,0,0,Marshawn Lynch up the middle for 1 yard (tackle by Brandon Mebane and Darryl Tapp),1.330,0.930
1,8:54,2,9,BUF 37,0,0,Trent Edwards pass incomplete short left intended for Lee Evans (defended by Brian Russell),0.930,0.230
1,8:47,3,9,BUF 37,0,0,Trent Edwards pass incomplete short right intended for Lee Evans (defended by Julian Peterson),0.230,-0.910
1,8:43,4,9,BUF 37,0,0,Brian Moorman punts 45 yards,-0.910,-0.040
1,8:32,1,10,SEA 18,0,0,Matt Hasselbeck pass complete short right to Nate Burleson for 12 yards (tackle by Terrence McGee),0.040,0.940
1,7:58,1,10,SEA 30,0,0,Matt Hasselbeck pass incomplete short right intended for Logan Payne,0.940,0.390
1,7:51,2,10,SEA 30,0,0,Maurice Morris left guard for 2 yards (tackle by Aaron Schobel and Keith Ellison),0.390,-0.030
1,7:10,3,8,SEA 32,0,0,Matt Hasselbeck pass incomplete short right intended for Jeb Putzier,-0.030,-1.240
1,7:06,4,8,SEA 32,0,0,"Ryan Plackemeier punts 47 yards, returned by Roscoe Parrish for 25 yards (tackle by John Carlson)",-1.240,-1.990
1,6:53,1,10,BUF 46,0,0,Marshawn Lynch left tackle for 4 yards (tackle by Julian Peterson and Deon Grant),1.990,1.990
1,6:16,2,6,,0,0,Marshawn Lynch right tackle for 1 yard (tackle by Marcus Trufant and LeRoy Hill),1.990,1.420
1,5:35,3,5,SEA 49,0,0,Trent Edwards pass incomplete short left intended for Roscoe Parrish,1.420,0.000
1,5:30,4,5,SEA 49,0,0,"Brian Moorman punts 35 yards, fair catch by Nate Burleson",0.000,0.280
1,5:23,1,10,SEA 14,0,0,Leonard Weaver left tackle for 4 yards (tackle by Keith Ellison and Kawika Mitchell),-0.280,-0.210
1,4:49,2,6,SEA 18,0,0,Matt Hasselbeck pass incomplete short right intended for Courtney Taylor,-0.210,-0.920
1,4:44,3,6,SEA 18,0,0,Matt Hasselbeck sacked by Aaron Schobel for -4 yards,-0.920,-2.470
1,4:16,4,10,SEA 14,0,0,"Ryan Plackemeier punts 47 yards, returned by Roscoe Parrish for 9 yards (tackle by David Hawthorne)",-2.470,-2.130
1,4:04,1,10,BUF 48,0,0,Trent Edwards pass complete deep left to Lee Evans for 32 yards (tackle by Kelly Jennings),2.130,4.240
1,3:39,1,10,SEA 20,0,0,Marshawn Lynch left tackle for -1 yards (tackle by Deon Grant and Darryl Tapp),4.240,3.560
1,2:55,2,11,SEA 21,0,0,Trent Edwards pass incomplete deep right intended for Lee Evans (defended by Marcus Trufant),3.560,2.870
1,2:49,3,11,SEA 21,0,6,"Marshawn Lynch left tackle for 21 yards, touchdown",2.870,7.000
1,,,,SEA 2,0,7,Rian Lindell kicks extra point good,0.000,0.000
1,,,,BUF 30,0,7,"Rian Lindell kicks off 40 yards, fair catch by Will Heller",0.000,0.940
1,2:43,1,10,SEA 30,0,7,Matt Hasselbeck pass complete short right to Nate Burleson for 10 yards (tackle by Donte Whitner),0.940,1.600
1,2:16,1,10,SEA 40,0,7,Maurice Morris up the middle for 2 yards (tackle by Marcus Stroud and Paul Posluszny),1.600,1.320
1,1:38,2,8,SEA 42,0,7,Matt Hasselbeck sacked by Kawika Mitchell for -4 yards,1.320,0.100
1,1:07,3,12,SEA 38,0,7,Leonard Weaver left tackle for 5 yards (tackle by Ashton Youboty),0.100,-0.520
1,0:33,4,7,SEA 43,0,7,"Ryan Plackemeier punts 48 yards, returned by Roscoe Parrish for 3 yards (tackle by Jeff Robinson)",-0.520,0.350
1,0:22,1,10,BUF 12,0,7,Marshawn Lynch right guard for 1 yard (tackle by Red Bryant and Howard Green),-0.350,-0.700
Quarter,Time,Down,ToGo,Location,SEA,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,BUF 13,0,7,Trent Edwards pass incomplete short middle intended for Lee Evans (defended by Lofa Tatupu),-0.700,-1.300
2,14:54,3,9,BUF 13,0,7,Trent Edwards pass complete short left to Robert Royal for 5 yards (tackle by Deon Grant),-1.300,-2.240
2,14:17,4,4,BUF 18,0,7,"Brian Moorman punts 56 yards, returned by Nate Burleson for 16 yards (tackle by Bryan Scott)",-2.240,-1.730
2,14:04,1,10,SEA 42,0,7,Julius Jones left guard for 1 yard (tackle by Kawika Mitchell and Chris Kelsay),1.730,1.320
2,13:27,2,9,SEA 43,0,7,Julius Jones right guard for -2 yards (tackle by Ashton Youboty and Kyle Williams),1.320,0.370
2,12:42,3,11,SEA 41,0,7,Matt Hasselbeck pass complete short middle to Leonard Weaver for 16 yards (tackle by Ko Simpson),0.370,2.720
2,12:01,1,10,BUF 43,0,7,Matt Hasselbeck pass incomplete deep left intended for Courtney Taylor,2.720,2.180
2,11:55,2,10,BUF 43,0,7,"Matt Hasselbeck pass complete short left to Julius Jones for 6 yards (tackle by Paul Posluszny). Penalty on Rob Sims: Offensive Holding, 10 yards (no play)",2.180,0.830
2,11:23,2,20,SEA 47,0,7,Matt Hasselbeck sacked by Marcus Stroud for -2 yards,0.830,-0.100
2,10:51,3,22,SEA 45,0,7,Matt Hasselbeck pass incomplete deep middle intended for Jeb Putzier,-0.100,-0.390
2,10:46,4,22,SEA 45,0,7,Ryan Plackemeier punts 22 yards,-0.390,-1.140
2,10:39,1,10,BUF 33,0,7,Fred Jackson left guard for 6 yards (tackle by Lofa Tatupu),1.140,1.400
2,10:08,2,4,BUF 39,0,7,Fred Jackson up the middle for 3 yards (tackle by Brian Russell and Brandon Mebane),1.400,1.090
2,9:22,3,1,BUF 42,0,7,"Trent Edwards pass incomplete short left intended for Josh Reed. Penalty on Julian Peterson: Defensive Holding, 5 yards (no play)",1.090,2.060
2,9:19,1,10,BUF 47,0,7,Trent Edwards pass incomplete deep left intended for Lee Evans (defended by Kelly Jennings),2.060,1.520
2,9:10,2,10,BUF 47,0,7,Marshawn Lynch up the middle for 5 yards (tackle by Julian Peterson and Red Bryant),1.520,1.490
2,8:27,3,5,SEA 48,0,7,Fred Jackson left guard for 3 yards (tackle by Craig Terrill and Lawrence Jackson),1.490,0.270
2,7:51,4,2,SEA 45,0,7,"Brian Moorman punts 36 yards, fair catch by Nate Burleson",0.270,0.380
2,7:44,1,10,SEA 9,0,7,Matt Hasselbeck pass incomplete short middle intended for Julius Jones,-0.380,-0.780
2,7:40,2,10,SEA 9,0,7,Julius Jones left tackle for 2 yards (tackle by Jabari Greer),-0.780,-1.190
2,7:13,,,,0,7,Timeout #1 by Seattle Seahawks,0.000,-1.190
2,7:13,3,8,SEA 11,0,7,Matt Hasselbeck pass complete short left to John Carlson for 6 yards (tackle by Donte Whitner),-1.190,-2.320
2,6:39,4,2,SEA 17,0,13,"Ryan Plackemeier punts 46 yards, returned by Roscoe Parrish for 63 yards, touchdown",-2.320,-7.000
2,,,,SEA 2,0,14,Rian Lindell kicks extra point good,0.000,0.000
2,,,,BUF 30,0,14,"Rian Lindell kicks off 63 yards, returned by Josh Wilson for 39 yards (tackle by Rian Lindell)",0.000,1.990
2,6:12,1,10,SEA 46,0,14,"Matt Hasselbeck pass incomplete short right intended for Nate Burleson (defended by Jabari Greer). Penalty on Jabari Greer: Defensive Pass Interference, 14 yards (no play)",1.990,2.920
2,6:07,1,10,BUF 40,0,14,Matt Hasselbeck pass complete deep right to John Carlson for 20 yards (tackle by Donte Whitner),2.920,4.240
2,5:33,1,10,BUF 20,0,14,Julius Jones right guard for no gain (tackle by Paul Posluszny),4.240,3.690
2,4:57,2,10,BUF 20,0,14,Matt Hasselbeck pass incomplete deep right intended for Nate Burleson,3.690,3.010
2,4:51,3,10,BUF 20,6,14,"Matt Hasselbeck pass complete deep left to Nate Burleson for 20 yards, touchdown",3.010,7.000
2,,,,BUF 2,7,14,Olindo Mare kicks extra point good,0.000,0.000
2,,,,SEA 30,7,14,"Olindo Mare kicks off 75 yards, touchback",0.000,0.280
2,4:45,1,10,BUF 20,7,14,Trent Edwards pass complete short right to Josh Reed for 4 yards (tackle by Lofa Tatupu),0.280,0.270
2,4:04,2,6,BUF 24,7,14,Marshawn Lynch left tackle for 1 yard (tackle by LeRoy Hill and Lofa Tatupu),0.270,-0.300
2,3:18,3,5,BUF 25,7,14,Trent Edwards pass complete deep right to Josh Reed for 24 yards (tackle by Kelly Jennings),-0.300,2.190
2,2:51,1,10,BUF 49,7,14,Trent Edwards pass complete short left to Marshawn Lynch for 11 yards (tackle by LeRoy Hill),2.190,2.920
2,2:29,1,10,SEA 40,7,14,Marshawn Lynch right tackle for 18 yards (tackle by Deon Grant and Marcus Trufant),2.920,4.110
2,2:00,1,10,SEA 22,7,14,Trent Edwards pass incomplete short right intended for Roscoe Parrish (defended by Marcus Trufant),4.110,3.560
2,1:56,2,10,SEA 22,7,14,Fred Jackson right end for 3 yards (tackle by Lofa Tatupu),3.560,3.260
2,1:10,,,,7,14,Timeout #1 by Buffalo Bills,0.000,3.260
2,1:10,3,7,SEA 19,7,14,Trent Edwards pass complete short left to Roscoe Parrish for 2 yards (tackle by Josh Wilson),3.260,2.360
2,1:04,,,,7,14,Timeout #2 by Seattle Seahawks,0.000,2.360
2,1:04,4,5,SEA 17,7,17,Rian Lindell 35 yard field goal good,2.360,3.000
2,,,,BUF 30,7,17,"Rian Lindell kicks off 64 yards, returned by Josh Wilson for 19 yards (tackle by Ko Simpson)",0.000,0.610
2,0:55,1,10,SEA 25,7,17,Matt Hasselbeck pass incomplete short middle intended for Jeb Putzier (defended by Paul Posluszny),0.610,0.060
2,0:51,2,10,SEA 25,7,17,Matt Hasselbeck pass incomplete short right intended for Julius Jones,0.060,-0.620
2,0:45,3,10,SEA 25,7,17,Matt Hasselbeck pass incomplete deep middle intended for Jeb Putzier,-0.620,-1.700
2,0:40,4,10,SEA 25,7,17,Ryan Plackemeier punts 22 yards,-1.700,-2.460
2,0:34,1,10,SEA 47,7,17,Trent Edwards pass complete short right to Robert Royal for 8 yards (tackle by D.D. Lewis),2.460,2.990
2,0:22,,,,7,17,Timeout #2 by Buffalo Bills,0.000,2.990
2,0:22,2,2,SEA 39,7,17,Trent Edwards pass complete short left to Robert Royal for no gain,2.990,2.280
2,0:15,3,2,SEA 39,7,17,Trent Edwards pass complete short middle to Lee Evans for 19 yards (tackle by D.D. Lewis),2.280,4.240
2,0:05,,,,7,17,Timeout #3 by Buffalo Bills,0.000,4.240
2,0:05,1,10,SEA 20,7,20,Rian Lindell 38 yard field goal good,4.240,3.000
Quarter,Time,Down,ToGo,Location,SEA,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BUF 30,7,20,"Rian Lindell kicks off 75 yards, touchback",0.000,0.280
3,14:59,1,10,SEA 20,7,20,Matt Hasselbeck pass complete short right to Nate Burleson for 16 yards (tackle by Paul Posluszny),0.280,1.330
3,14:23,1,10,SEA 36,7,20,Matt Hasselbeck pass complete short left to Nate Burleson for 2 yards (tackle by Ashton Youboty),1.330,1.060
3,13:53,2,8,SEA 38,7,20,Maurice Morris left tackle for 17 yards (tackle by Donte Whitner and Jabari Greer),1.060,2.590
3,13:13,1,10,BUF 45,7,20,Matt Hasselbeck pass complete short right to Courtney Taylor for 2 yards (tackle by Terrence McGee),2.590,2.310
3,12:45,2,8,BUF 43,7,20,Maurice Morris left guard for 13 yards (tackle by Donte Whitner),2.310,3.580
3,12:16,1,10,BUF 30,7,20,Matt Hasselbeck sacked by Marcus Stroud for -7 yards,3.580,2.090
3,11:46,2,17,BUF 37,7,20,"Penalty on John Carlson: False Start, 5 yards (no play)",2.090,1.410
3,11:19,,,,7,20,Timeout #1 by Seattle Seahawks,0.000,1.410
3,11:19,2,22,BUF 42,7,20,"Penalty on Chris Spencer: False Start, 5 yards (no play)",1.410,0.740
3,11:19,2,27,BUF 47,7,20,Julius Jones right guard for -4 yards (tackle by Kawika Mitchell and Marcus Stroud),0.740,-0.430
3,10:32,3,31,SEA 49,7,20,Matt Hasselbeck pass complete short right to Julius Jones for 9 yards (tackle by Ashton Youboty),-0.430,0.460
3,9:52,4,22,BUF 42,7,20,Ryan Plackemeier punts 40 yards,0.460,0.380
3,9:43,1,10,BUF 2,7,20,Marshawn Lynch left tackle for 15 yards (tackle by Kelly Jennings),-0.380,-0.060
3,9:19,1,10,BUF 17,7,20,Marshawn Lynch right tackle for -4 yards (tackle by Craig Terrill and LeRoy Hill),-0.060,-1.060
3,8:38,2,14,BUF 13,7,20,Trent Edwards pass complete short left to Robert Royal for 4 yards (tackle by Julian Peterson),-1.060,-1.250
3,7:56,3,10,BUF 17,7,20,Trent Edwards pass incomplete short left intended for Marshawn Lynch (defended by LeRoy Hill),-1.250,-2.320
3,7:49,4,10,BUF 17,7,20,"Brian Moorman punts 51 yards, returned by Nate Burleson for 17 yards (tackle by John Wendling)",-2.320,-2.190
3,7:38,1,10,SEA 49,7,20,"Matt Hasselbeck pass complete deep left to Logan Payne for 22 yards (tackle by Jabari Greer). Logan Payne fumbles (forced by Jabari Greer), ball out of bounds at BUF-29",2.190,3.640
3,7:29,1,10,BUF 29,7,20,Julius Jones left tackle for 3 yards (tackle by Marcus Stroud),3.640,3.510
3,7:00,2,7,BUF 26,7,20,Matt Hasselbeck pass incomplete (defended by Chris Kelsay),3.510,2.810
3,6:52,3,7,BUF 26,7,20,Matt Hasselbeck pass incomplete short right intended for Nate Burleson (defended by Marcus Stroud),2.810,1.740
3,6:47,4,7,BUF 26,10,20,Olindo Mare 45 yard field goal good,1.740,3.000
3,,,,SEA 30,10,20,"Olindo Mare kicks off 70 yards, touchback",0.000,0.280
3,6:42,1,10,BUF 20,10,20,Marshawn Lynch right guard for 4 yards (tackle by Lofa Tatupu and Julian Peterson),0.280,0.270
3,5:55,2,6,BUF 24,10,20,Trent Edwards pass complete short middle to Josh Reed for 9 yards (tackle by Julian Peterson),0.270,1.140
3,5:14,1,10,BUF 33,10,20,Marshawn Lynch right tackle for 4 yards (tackle by LeRoy Hill and Howard Green),1.140,1.130
3,4:33,2,6,BUF 37,10,20,Trent Edwards pass complete deep left to Lee Evans for 41 yards (tackle by Kelly Jennings),1.130,4.110
3,3:49,1,10,SEA 22,10,20,Marshawn Lynch left guard for no gain (tackle by Brandon Mebane and Julian Peterson),4.110,3.560
3,3:07,2,10,SEA 22,10,20,Trent Edwards pass incomplete short left intended for Marshawn Lynch,3.560,2.870
3,3:02,3,10,SEA 22,10,20,Trent Edwards pass complete short left to Roscoe Parrish for 3 yards (tackle by Josh Wilson),2.870,2.180
3,2:26,4,7,SEA 19,10,26,"Brian Moorman pass complete short left to Ryan Denney for 19 yards, touchdown",2.180,7.000
3,,,,SEA 2,10,27,Rian Lindell kicks extra point good,0.000,0.000
3,,,,BUF 30,10,27,"Rian Lindell kicks off 69 yards, returned by Josh Wilson for 26 yards (tackle by Jon Corto). Josh Wilson fumbles (forced by Jon Corto), recovered by Rian Lindell at SEA-30",0.000,-3.580
3,2:09,1,10,SEA 30,10,33,"Trent Edwards pass complete deep middle to Robert Royal for 30 yards, touchdown",3.580,7.000
3,,,,SEA 2,10,34,Rian Lindell kicks extra point good,0.000,0.000
3,,,,BUF 30,10,34,"Rian Lindell kicks off 70 yards, returned by Josh Wilson for 22 yards (tackle by Jon Corto)",0.000,0.410
3,1:56,1,10,SEA 22,10,34,Julius Jones up the middle for 1 yard (tackle by Ko Simpson and Spencer Johnson),0.410,0.000
3,1:22,2,9,SEA 23,10,34,Matt Hasselbeck pass complete short right to Leonard Weaver for 1 yard (tackle by Terrence McGee),0.000,-0.560
3,0:42,3,8,SEA 24,10,34,Matt Hasselbeck sacked by Ryan Denney and Copeland Bryan for -6 yards,-0.560,-2.240
3,0:21,4,14,SEA 18,10,34,"Ryan Plackemeier punts 52 yards, returned by Roscoe Parrish for 15 yards (tackle by Will Heller)",-2.240,-1.930
3,0:07,1,10,BUF 45,10,34,Trent Edwards pass complete short left to Marshawn Lynch for no gain,1.930,1.380
Quarter,Time,Down,ToGo,Location,SEA,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,BUF 45,10,34,Marshawn Lynch left end for 4 yards (tackle by LeRoy Hill),1.380,1.220
4,14:17,3,6,BUF 49,10,34,Trent Edwards pass complete short right to Lee Evans for 10 yards (tackle by Marcus Trufant),1.220,2.850
4,13:50,1,10,SEA 41,10,34,Marshawn Lynch left tackle for 1 yard (tackle by Patrick Kerney),2.850,2.440
4,13:01,2,9,SEA 40,10,34,Trent Edwards pass complete short left to Robert Royal for 5 yards (tackle by Deon Grant),2.440,2.410
4,12:17,3,4,SEA 35,10,34,Trent Edwards pass complete short right to Roscoe Parrish for 1 yard (tackle by Marcus Trufant),2.410,1.090
4,11:35,4,3,SEA 34,10,34,"Rian Lindell 52 yard field goal no good, blocked by Craig Terrill",1.090,-1.730
4,11:23,1,10,SEA 42,10,34,Julius Jones left guard for -6 yards (tackle by Marcus Stroud),1.730,0.380
4,10:48,2,16,SEA 36,10,34,Matt Hasselbeck pass incomplete short middle intended for Jordan Kent,0.380,-0.290
4,10:43,3,16,SEA 36,10,34,Matt Hasselbeck pass incomplete deep middle intended for Jordan Kent,-0.290,-0.980
4,10:37,4,16,SEA 36,10,34,Ryan Plackemeier punts 39 yards,-0.980,-0.610
4,10:29,1,10,BUF 25,10,34,Fred Jackson left guard for 3 yards (tackle by Julian Peterson and Brian Russell),0.610,0.470
4,9:46,2,7,BUF 28,10,34,Fred Jackson up the middle for 3 yards (tackle by Red Bryant and Julian Peterson),0.470,0.170
4,9:01,3,4,BUF 31,10,34,Fred Jackson right tackle for 3 yards (tackle by Marcus Trufant and Lofa Tatupu),0.170,-1.110
4,8:16,4,1,BUF 34,10,34,"Brian Moorman punts 36 yards, fair catch by Seneca Wallace",-1.110,-0.940
4,8:08,1,10,SEA 30,10,34,Julius Jones left tackle for 14 yards (tackle by Ko Simpson),0.940,1.860
4,7:47,1,10,SEA 44,10,34,Matt Hasselbeck pass complete short left to Julius Jones for 8 yards (tackle by Ashton Youboty),1.860,2.400
4,7:26,2,2,BUF 48,10,34,Matt Hasselbeck pass complete short right to Logan Payne for 3 yards (tackle by Ashton Youboty),2.400,2.590
4,7:07,1,10,BUF 45,10,34,Matt Hasselbeck pass incomplete deep right intended for Courtney Taylor,2.590,2.040
4,7:00,2,10,BUF 45,10,34,Julius Jones up the middle for 2 yards (tackle by Copeland Bryan and Keith Ellison),2.040,1.620
4,6:16,3,8,BUF 43,10,34,Julius Jones right guard for 24 yards (tackle by Terrence McGee and Ko Simpson),1.620,4.310
4,5:34,1,10,BUF 19,10,34,Matt Hasselbeck pass incomplete deep left intended for Jordan Kent,4.310,3.750
4,5:28,2,10,BUF 19,10,34,Matt Hasselbeck pass complete short middle to John Carlson for 17 yards (tackle by Donte Whitner),3.750,6.740
4,4:56,,,,10,34,Timeout #1 by Buffalo Bills,0.000,6.740
4,4:56,1,2,BUF 2,10,34,"Penalty on Leonard Weaver: False Start, 5 yards (no play)",6.740,5.600
4,4:56,1,7,BUF 7,10,34,Matt Hasselbeck pass incomplete short left intended for Jordan Kent (defended by Jabari Greer),5.600,4.760
4,4:52,2,7,BUF 7,10,34,Matt Hasselbeck pass incomplete short right intended for Courtney Taylor (defended by Donte Whitner),4.760,3.810
4,4:48,3,7,BUF 7,10,34,Julius Jones right guard for 4 yards (tackle by Aaron Schobel),3.810,3.040
4,4:07,4,3,BUF 3,10,34,Matt Hasselbeck pass incomplete short middle intended for Jordan Kent,3.040,0.380
4,4:04,1,10,BUF 3,10,34,Fred Jackson left guard for 3 yards (tackle by Darryl Tapp),-0.380,-0.560
4,3:17,2,7,BUF 6,10,34,Fred Jackson right tackle for 4 yards (tackle by Jason Babin and Deon Grant),-0.560,-0.600
4,2:28,,,,10,34,Timeout #2 by Buffalo Bills,0.000,-0.600
4,2:27,3,3,BUF 10,10,34,Fred Jackson up the middle for no gain (tackle by Red Bryant),-0.600,-2.490
4,2:00,4,3,BUF 10,10,34,"Brian Moorman punts 59 yards, returned by Seneca Wallace for no gain",-2.490,-1.000
4,1:50,1,10,SEA 31,10,34,Julius Jones right tackle for 6 yards (tackle by Paul Posluszny),1.000,1.270
4,1:17,2,4,SEA 37,10,34,Matt Hasselbeck pass complete short right to John Carlson for 9 yards (tackle by Ashton Youboty),1.270,1.990
4,0:50,1,10,SEA 46,10,34,Matt Hasselbeck pass complete deep right to Courtney Taylor for 17 yards (tackle by Terrence McGee). Penalty on Spencer Johnson: Illegal Use of Hands (Declined),1.990,3.120
4,0:43,1,10,BUF 37,10,34,Matt Hasselbeck pass incomplete short left intended for Courtney Taylor is intercepted by Terrence McGee at BUF-24,3.120,-0.540
4,0:35,1,10,BUF 24,10,34,Trent Edwards kneels for -1 yards,0.540,-0.140
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
