Unnamed: 0,SEA,BUF
First Downs,16,13
Rush-Yds-TDs,21-85-0,29-106-1
Cmp-Att-Yd-TD-INT,17-41-190-1-1,20-31-234-2-0
Sacked-Yards,5-23,1-2
Net Pass Yards,167,232
Total Yards,252,338
Fumbles-Lost,2-1,0-0
Turnovers,2,0
Penalties-Yards,5-30,1-14
Third Down Conv.,3-16,4-16
Fourth Down Conv.,0-1,1-1
Time of Possession,28:41,31:19
