Quarter,Time,Tm,Detail,ARI,BAL
1.0,8:06,Ravens,Mark Andrews 27 yard pass from Lamar Jackson (Justin Tucker kick),0,7
,2:18,Cardinals,Zane Gonzalez 22 yard field goal,3,7
2.0,14:07,Ravens,Justin Tucker 33 yard field goal,3,10
,8:31,Cardinals,Zane Gonzalez 21 yard field goal,6,10
,3:49,Ravens,Hayden Hurst 1 yard pass from Lamar Jackson (Justin Tucker kick),6,17
3.0,9:00,Cardinals,Zane Gonzalez 21 yard field goal,9,17
4.0,14:56,Ravens,Justin Tucker 28 yard field goal,9,20
,12:52,Cardinals,David Johnson 1 yard rush (KeeSean Johnson pass from Kyler Murray),17,20
,8:56,Ravens,Justin Tucker 51 yard field goal,17,23
