Quarter,Time,Down,ToGo,Location,ARI,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,ARI 25,0,0,Kyler Murray right end for 7 yards (tackle by Cyrus Jones),0.610,1.010
1,14:37,2,3,ARI 32,0,0,David Johnson left guard for 3 yards (tackle by Matt Judon),1.010,1.270
1,14:07,1,10,ARI 35,0,0,Kyler Murray pass complete short middle to Larry Fitzgerald for no gain (tackle by Brandon Carr),1.270,0.720
1,13:29,2,10,ARI 35,0,0,Kyler Murray pass complete short middle to David Johnson for no gain (tackle by Michael Pierce and Patrick Onwuasor),0.720,0.040
1,12:47,3,10,ARI 35,0,0,Kyler Murray pass complete short right to Michael Crabtree for 9 yards (tackle by Marlon Humphrey),0.040,-0.460
1,12:12,4,1,ARI 44,0,0,Andy Lee punts 50 yards downed by Charles Washington,-0.460,0.380
1,12:02,1,10,BAL 6,0,0,Lamar Jackson pass complete short middle to Nick Boyle for 14 yards (tackle by Byron Murphy and Haason Reddick),-0.380,0.280
1,11:22,1,10,BAL 20,0,0,Mark Ingram right guard for 1 yard (tackle by Budda Baker and Jordan Hicks),0.280,-0.130
1,10:42,2,9,BAL 21,0,0,Lamar Jackson pass complete deep middle to Marquise Brown for 18 yards (tackle by D.J. Swearinger and Byron Murphy),-0.130,1.530
1,10:01,1,10,BAL 39,0,0,Lamar Jackson left end for 19 yards (tackle by D.J. Swearinger),1.530,2.790
1,9:23,1,10,ARI 42,0,0,Lamar Jackson pass complete short left to Marquise Brown for 6 yards,2.790,3.050
1,8:55,2,4,ARI 36,0,0,Lamar Jackson pass complete short right to Marquise Brown for 9 yards (tackle by D.J. Swearinger and Byron Murphy),3.050,3.780
1,8:12,1,10,ARI 27,0,6,"Lamar Jackson pass complete deep right to Mark Andrews for 27 yards, touchdown",3.780,7.000
1,8:06,,,ARI 15,0,7,Justin Tucker kicks extra point good,0.000,0.000
1,8:06,,,BAL 35,0,7,"Justin Tucker kicks off 65 yards, returned by Damiere Byrd for 23 yards (tackle by Chuck Clark)",0.000,0.480
1,8:01,1,10,ARI 23,0,7,Kyler Murray pass incomplete deep right,0.480,-0.070
1,7:54,2,10,ARI 23,0,7,David Johnson right guard for 2 yards (tackle by Marlon Humphrey),-0.070,-0.490
1,7:15,3,8,ARI 25,0,7,"Kyler Murray aborted snap, recovered by Kyler Murray at ARI-20 and returned for -5 yards",-0.490,-2.030
1,6:43,4,13,ARI 20,0,7,"Andy Lee punts 45 yards, fair catch by Cyrus Jones at BAL-35. Penalty on Charles Washington: Fair Catch Interference, 15 yards",-2.030,-2.260
1,6:32,1,10,BAL 50,0,7,Mark Ingram up the middle for 2 yards (tackle by Chandler Jones and Rodney Gunter),2.260,1.980
1,5:56,2,8,ARI 48,0,7,Lamar Jackson pass complete short right to Marquise Brown for 6 yards (tackle by Tramaine Brock),1.980,2.080
1,5:17,3,2,ARI 42,0,7,Lamar Jackson left guard for -1 yards (tackle by Corey Peters and Jordan Hicks),2.080,0.400
1,4:39,4,3,ARI 43,0,7,Lamar Jackson pass incomplete deep right intended for Marquise Brown,0.400,-1.800
1,4:34,1,10,ARI 43,0,7,Kyler Murray pass complete short left to Larry Fitzgerald for 8 yards (tackle by Brandon Carr),1.800,2.330
1,4:03,2,2,BAL 49,0,7,Kyler Murray pass complete short left to Larry Fitzgerald for 2 yards (tackle by Brandon Carr),2.330,2.460
1,3:47,1,10,BAL 47,0,7,Kyler Murray pass complete deep right to Christian Kirk for 34 yards (tackle by Anthony Averett),2.460,4.710
1,3:32,1,10,BAL 13,0,7,David Johnson right guard for 2 yards (tackle by Tim Williams and Tony Jefferson),4.710,4.390
1,3:32,2,8,BAL 11,0,7,Kyler Murray pass complete short left to Damiere Byrd for 7 yards (tackle by Tony Jefferson and Brandon Carr),4.390,5.010
1,2:27,3,1,BAL 4,0,7,Kyler Murray pass incomplete short right,5.010,3.040
1,2:21,4,1,BAL 4,3,7,Zane Gonzalez 22 yard field goal good,3.040,3.000
1,2:18,,,ARI 35,3,7,"Zane Gonzalez kicks off 65 yards, touchback.",0.000,0.610
1,2:18,1,10,BAL 25,3,7,Lamar Jackson pass incomplete deep left intended for Marquise Brown,0.610,0.060
1,2:12,2,10,BAL 25,3,7,Lamar Jackson sacked by Cassius Marsh for -7 yards. Penalty on Orlando Brown: Offensive Holding (Declined),0.060,-1.720
1,1:53,3,17,BAL 18,3,7,"Lamar Jackson pass complete deep middle to Mark Andrews for 28 yards (tackle by Budda Baker and D.J. Swearinger). Mark Andrews fumbles (forced by D.J. Swearinger), recovered by Mark Andrews at BAL-46",-1.720,1.990
1,1:28,1,10,BAL 46,3,7,Mark Ingram right guard for 16 yards (tackle by D.J. Swearinger),1.990,3.050
1,0:51,1,10,ARI 38,3,7,Lamar Jackson left end for 16 yards (tackle by D.J. Swearinger),3.050,4.110
1,0:18,1,10,ARI 22,3,7,Mark Ingram up the middle for -1 yards (tackle by Rodney Gunter),4.110,3.430
Quarter,Time,Down,ToGo,Location,ARI,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,11,ARI 23,3,7,Lamar Jackson pass incomplete deep middle intended for Justice Hill (defended by Haason Reddick),3.430,2.740
2,14:54,3,11,ARI 23,3,7,Lamar Jackson pass complete short middle to Mark Andrews for 8 yards (tackle by Jordan Hicks and Haason Reddick),2.740,2.540
2,14:11,4,3,ARI 15,3,10,Justin Tucker 33 yard field goal good,2.540,3.000
2,14:07,,,BAL 35,3,10,"Justin Tucker kicks off 66 yards, returned by Damiere Byrd for 15 yards (tackle by Justin Bethel)",0.000,-0.280
2,14:02,1,10,ARI 14,3,10,Kyler Murray pass complete short left to Chase Edmonds for 5 yards (tackle by Patrick Onwuasor and Tony Jefferson),-0.280,-0.040
2,13:40,2,5,ARI 19,3,10,Kyler Murray pass complete short middle to Christian Kirk for 26 yards,-0.040,1.930
2,13:20,1,10,ARI 45,3,10,Kyler Murray sacked by Matt Judon for -6 yards,1.930,0.570
2,12:43,2,16,ARI 39,3,10,Kyler Murray pass complete short left to Damiere Byrd for 6 yards (tackle by Patrick Ricard),0.570,0.700
2,12:20,3,10,ARI 45,3,10,Kyler Murray pass complete short left to Damiere Byrd for 8 yards (tackle by Tyus Bowser),0.700,0.130
2,12:16,,,,,,Timeout #2 by Arizona Cardinals,,
2,12:16,4,2,BAL 47,3,10,Kyler Murray pass complete short left to Damiere Byrd for 5 yards (tackle by Anthony Averett),0.130,2.790
2,11:55,1,10,BAL 42,3,10,Kyler Murray pass complete short right to Christian Kirk for 4 yards (tackle by Brandon Carr),2.790,2.780
2,11:28,2,6,BAL 38,3,10,Kyler Murray right end for -3 yards (tackle by Marlon Humphrey),2.780,1.680
2,10:57,3,9,BAL 41,3,10,Kyler Murray pass complete deep right to KeeSean Johnson for 31 yards (tackle by Brandon Carr),1.680,4.910
2,10:14,1,10,BAL 10,3,10,Chase Edmonds left guard for 2 yards (tackle by Tim Williams),4.910,4.570
2,9:38,2,8,BAL 8,3,10,"Penalty on Justin Murray: False Start, 5 yards (no play)",4.570,3.720
2,9:15,2,13,BAL 13,3,10,Kyler Murray pass complete short right to Chase Edmonds for 10 yards (tackle by Patrick Onwuasor),3.720,4.720
2,8:38,3,3,BAL 3,3,10,Kyler Murray pass incomplete short left intended for Larry Fitzgerald,4.720,3.040
2,8:34,4,3,BAL 3,6,10,Zane Gonzalez 21 yard field goal good,3.040,3.000
2,8:31,,,ARI 35,6,10,"Zane Gonzalez kicks off 60 yards, returned by Justice Hill for 20 yards (tackle by Dennis Gardeck). Penalty on Chuck Clark: Offensive Holding, 10 yards",0.000,-0.220
