Unnamed: 0,ARI,BAL
First Downs,15,26
Rush-Yds-TDs,11-20-1,33-182-0
Cmp-Att-Yd-TD-INT,25-40-349-0-0,24-37-272-2-0
Sacked-Yards,3-20,2-14
Net Pass Yards,329,258
Total Yards,349,440
Fumbles-Lost,1-0,2-0
Turnovers,0,0
Penalties-Yards,8-70,10-62
Third Down Conv.,2-11,7-14
Fourth Down Conv.,1-1,0-1
Time of Possession,22:22,37:38
