Unnamed: 0,PIT,CIN
First Downs,14,18
Rush-Yds-TDs,32-121-1,18-54-1
Cmp-Att-Yd-TD-INT,18-28-202-2-1,22-36-248-2-1
Sacked-Yards,1-9,4-30
Net Pass Yards,193,218
Total Yards,314,272
Fumbles-Lost,2-1,2-1
Turnovers,2,2
Penalties-Yards,7-73,3-30
Third Down Conv.,6-14,3-12
Fourth Down Conv.,0-0,0-1
Time of Possession,32:19,27:41
