Quarter,Time,Tm,Detail,CIN,BAL
1.0,9:18,Bengals,Shayne Graham 25 yard field goal,3,0
,4:28,Ravens,Jamal Lewis 1 yard rush (Matt Stover kick),3,7
2.0,14:40,Ravens,Marcus Robinson 8 yard pass from Anthony Wright (Matt Stover kick),3,14
,6:20,Bengals,Peter Warrick 4 yard pass from Jon Kitna (Shayne Graham kick),10,14
,2:09,Ravens,Matt Stover 22 yard field goal,10,17
3.0,11:34,Bengals,Shayne Graham 38 yard field goal,13,17
,5:31,Ravens,Jamal Lewis 3 yard rush (Matt Stover kick),13,24
4.0,11:48,Ravens,Jamal Lewis 13 yard rush (Matt Stover kick),13,31
