Unnamed: 0,CIN,BAL
First Downs,15,21
Rush-Yds-TDs,21-100-0,45-223-3
Cmp-Att-Yd-TD-INT,23-31-214-1-2,8-19-145-1-2
Sacked-Yards,6-46,2-15
Net Pass Yards,168,130
Total Yards,268,353
Fumbles-Lost,4-3,3-1
Turnovers,5,3
Penalties-Yards,9-63,2-20
Third Down Conv.,4-13,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,27:04,32:56
