Quarter,Time,Tm,Detail,NOR,ATL
1.0,9:07,Falcons,Roddy White 16 yard pass from Matt Ryan (Jason Elam kick),0,7
,2:15,Saints,Garrett Hartley 24 yard field goal,3,7
2.0,12:04,Falcons,Michael Turner 2 yard rush (Jason Elam kick),3,14
,8:33,Saints,Garrett Hartley 44 yard field goal,6,14
,3:05,Falcons,Jason Elam 22 yard field goal,6,17
3.0,2:06,Falcons,Jason Elam 27 yard field goal,6,20
4.0,14:40,Falcons,Jerious Norwood 67 yard pass from Matt Ryan (Jason Elam kick),6,27
,9:54,Saints,Deuce McAllister 15 yard pass from Drew Brees (Garrett Hartley kick),13,27
,1:17,Falcons,Chevis Jackson 95 yard interception return (Jason Elam kick),13,34
,0:00,Saints,Lance Moore 32 yard pass from Drew Brees (Garrett Hartley kick),20,34
