Unnamed: 0,NOR,ATL
First Downs,25,18
Rush-Yds-TDs,17-105-0,36-113-1
Cmp-Att-Yd-TD-INT,31-58-422-2-3,16-23-248-2-0
Sacked-Yards,1-6,0-0
Net Pass Yards,416,248
Total Yards,521,361
Fumbles-Lost,1-0,0-0
Turnovers,3,0
Penalties-Yards,7-45,2-25
Third Down Conv.,7-15,5-11
Fourth Down Conv.,2-3,0-0
Time of Possession,28:48,31:12
