Unnamed: 0,ATL,WAS
First Downs,18,20
Rush-Yds-TDs,29-167-0,37-176-0
Cmp-Att-Yd-TD-INT,15-25-174-1-1,14-23-138-2-1
Sacked-Yards,1-9,0-0
Net Pass Yards,165,138
Total Yards,332,314
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,2-20,4-28
Third Down Conv.,4-10,5-12
Fourth Down Conv.,0-1,1-1
Time of Possession,26:51,33:09
