Quarter,Time,Down,ToGo,Location,ATL,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Commanders won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,WAS 35,0,0,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,ATL 25,0,0,Cordarrelle Patterson right tackle for 3 yards (tackle by Jonathan Allen and Jamin Davis),0.610,0.470
1,14:26,2,7,ATL 28,0,0,Marcus Mariota pass complete short middle to MyCole Pruitt for 5 yards (tackle by John Ridgeway and Jamin Davis),0.470,0.430
1,13:45,3,2,ATL 33,0,0,Marcus Mariota right end for 11 yards (tackle by Kendall Fuller),0.430,1.860
1,13:00,1,10,ATL 44,0,0,Tyler Allgeier left end for 8 yards (tackle by Darrick Forrest),1.860,2.400
1,12:25,2,2,WAS 48,0,0,Tyler Allgeier left end for 6 yards (tackle by Jonathan Allen and Darrick Forrest),2.400,2.790
1,11:45,1,10,WAS 42,0,0,Marcus Mariota pass complete short middle to Cordarrelle Patterson for 4 yards (tackle by Jamin Davis and Bobby McCain),2.790,2.780
1,11:06,2,6,WAS 38,0,0,Marcus Mariota pass complete short middle to Drake London for 7 yards (tackle by Jamin Davis),2.780,3.510
1,10:31,1,10,WAS 31,0,0,Tyler Allgeier up the middle for 2 yards (tackle by Kendall Fuller and Jonathan Allen),3.510,3.240
1,9:49,2,8,WAS 29,0,0,Cordarrelle Patterson up the middle for no gain (tackle by Jonathan Bostic),3.240,2.540
1,8:59,3,8,WAS 29,0,0,Marcus Mariota pass complete short middle to Cordarrelle Patterson for no gain (tackle by Jamin Davis),2.540,1.500
1,8:12,4,8,WAS 29,3,0,Younghoe Koo 47 yard field goal good,1.500,3.000
1,8:07,,,ATL 35,3,0,"Bradley Pinion kicks off 59 yards, returned by Antonio Gibson for 20 yards (tackle by DeAngelo Malone)",0.000,0.670
1,8:01,1,10,WAS 26,3,0,Taylor Heinicke pass complete deep right to Terry McLaurin for 26 yards (tackle by Jaylinn Hawkins),0.670,2.390
1,7:23,1,10,ATL 48,3,0,Brian Robinson right tackle for 5 yards (tackle by Richie Grant and Adetokunbo Ogundeji),2.390,2.520
1,6:44,2,5,ATL 43,3,0,Curtis Samuel left guard for 2 yards (tackle by Adetokunbo Ogundeji and Grady Jarrett),2.520,2.080
1,6:01,3,3,ATL 41,3,0,Taylor Heinicke pass complete deep right to Dyami Brown for 17 yards (tackle by Isaiah Oliver),2.080,3.970
1,5:22,1,10,ATL 24,3,0,Brian Robinson up the middle for 4 yards (tackle by Grady Jarrett and Rashaan Evans),3.970,3.970
1,4:39,2,6,ATL 20,3,0,Taylor Heinicke pass complete short middle to Terry McLaurin for 6 yards (tackle by Rashaan Evans and Richie Grant),3.970,4.650
1,3:53,1,10,ATL 14,3,6,"Taylor Heinicke pass complete short right to Brian Robinson for 14 yards, touchdown",4.650,7.000
1,3:46,,,ATL 15,3,7,Joey Slye kicks extra point good,0.000,0.000
1,3:46,,,WAS 35,3,7,"Joey Slye kicks off 63 yards, returned by Avery Williams for 19 yards (tackle by Milo Eifler and Jonathan Williams)",0.000,0.340
1,3:39,1,10,ATL 21,3,7,Marcus Mariota pass complete short middle to Cordarrelle Patterson for 15 yards (tackle by Darrick Forrest),0.340,1.330
1,3:05,1,10,ATL 36,3,7,Marcus Mariota right end for 8 yards (tackle by Darrick Forrest),1.330,1.870
1,2:29,2,2,ATL 44,3,7,Marcus Mariota pass incomplete short right intended for Parker Hesse,1.870,1.160
1,2:23,3,2,ATL 44,3,7,Marcus Mariota pass incomplete short left intended for Drake London,1.160,-0.460
1,2:20,4,2,ATL 44,3,7,"Bradley Pinion punts 38 yards, fair catch by Alex Erickson at WAS-18",-0.460,-0.040
1,2:14,1,10,WAS 18,3,7,Taylor Heinicke pass complete short middle to Logan Thomas for 7 yards (tackle by Mykal Walker and Troy Andersen),0.040,0.550
1,1:37,2,3,WAS 25,3,7,Antonio Gibson left tackle for 3 yards (tackle by Darren Hall),0.550,0.810
1,0:58,1,10,WAS 28,3,7,Antonio Gibson right end for 4 yards (tackle by Mykal Walker and Timmy Horne),0.810,0.800
1,0:15,2,6,WAS 32,3,7,Taylor Heinicke pass incomplete short right,0.800,0.100
1,0:09,3,6,WAS 32,3,7,Taylor Heinicke pass complete short left to Antonio Gibson for 1 yard (tackle by Arnold Ebiketie and DeAundre Alford),0.100,-1.180
Quarter,Time,Down,ToGo,Location,ATL,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,5,WAS 33,3,7,"Tress Way punts 44 yards, fair catch by Avery Williams at ATL-23",-1.180,-0.480
2,14:54,1,10,ATL 23,3,7,Caleb Huntley right end for 12 yards (tackle by Darrick Forrest and Kamren Curl),0.480,1.270
2,14:16,1,10,ATL 35,3,7,Marcus Mariota pass complete short right to Caleb Huntley for 1 yard (tackle by Christian Holmes),1.270,0.860
2,13:30,2,9,ATL 36,3,7,Marcus Mariota right end for 7 yards (tackle by Jamin Davis),0.860,1.090
2,12:48,3,2,ATL 43,3,7,Marcus Mariota right end for 11 yards (tackle by Darrick Forrest),1.090,2.520
2,12:02,1,10,WAS 46,3,7,Tyler Allgeier left tackle for -1 yards (tackle by Daron Payne and Montez Sweat),2.520,1.840
2,11:22,2,11,WAS 47,3,7,Tyler Allgeier left guard for 15 yards (tackle by Darrick Forrest),1.840,3.450
2,10:43,1,10,WAS 32,3,7,"Cordarrelle Patterson right end for no gain (tackle by Kamren Curl and Jamin Davis). Penalty on MyCole Pruitt: Face Mask (15 Yards), 15 yards (accepted) (no play)",3.450,2.460
2,10:16,1,25,WAS 47,3,7,Marcus Mariota pass incomplete short right intended for Cordarrelle Patterson (defended by Kendall Fuller),2.460,0.880
2,10:08,2,25,WAS 47,3,7,Marcus Mariota pass complete deep middle to Drake London for 22 yards (tackle by Jonathan Bostic),0.880,3.140
2,9:23,3,3,WAS 25,3,7,"Cordarrelle Patterson left end for 15 yards (tackle by Christian Holmes and Darrick Forrest). Penalty on Christian Holmes: Face Mask (15 Yards), 5 yards (accepted)",3.140,6.060
2,9:03,1,5,WAS 5,3,7,Cordarrelle Patterson left end for 1 yard (tackle by Kamren Curl and Montez Sweat),6.060,5.340
2,8:32,2,4,WAS 4,9,7,"Marcus Mariota pass complete short left to MyCole Pruitt for 4 yards, touchdown",5.340,7.000
2,8:26,,,WAS 15,10,7,Younghoe Koo kicks extra point good,0.000,0.000
2,8:26,,,ATL 35,10,7,"Bradley Pinion kicks off 67 yards, returned by Antonio Gibson for 31 yards (tackle by Darren Hall)",0.000,0.870
2,8:19,1,10,WAS 29,10,7,Brian Robinson left tackle for 4 yards (tackle by Adetokunbo Ogundeji and Jaleel Johnson),0.870,0.870
2,7:36,2,6,WAS 33,10,7,Brian Robinson up the middle for 6 yards (tackle by Troy Andersen and Rashaan Evans),0.870,1.530
2,6:59,1,10,WAS 39,10,7,Antonio Gibson right end for 7 yards (tackle by Richie Grant),1.530,1.930
2,6:19,2,3,WAS 46,10,7,Antonio Gibson up the middle for 5 yards (tackle by Rashaan Evans and Troy Andersen),1.930,2.320
2,5:38,1,10,ATL 49,10,7,Taylor Heinicke pass incomplete short right intended for Logan Thomas,2.320,1.780
2,5:31,2,10,ATL 49,10,7,Antonio Gibson left tackle for 1 yard (tackle by Arnold Ebiketie),1.780,1.220
2,4:47,3,9,ATL 48,10,7,Taylor Heinicke pass complete short right to Terry McLaurin for 13 yards,1.220,3.250
2,4:22,1,10,ATL 35,10,7,Brian Robinson left end for 1 yard (tackle by Rashaan Evans and Darren Hall),3.250,2.840
2,3:48,2,9,ATL 34,10,7,Taylor Heinicke pass complete short middle to Brian Robinson for 6 yards (tackle by Rashaan Evans),2.840,2.940
2,3:03,3,3,ATL 28,10,7,Taylor Heinicke pass complete short right to Antonio Gibson for 14 yards (tackle by Troy Andersen),2.940,4.650
2,2:28,1,10,ATL 14,10,7,Taylor Heinicke pass incomplete short middle intended for John Bates,4.650,4.000
2,2:18,2,10,ATL 14,10,7,Antonio Gibson right tackle for 2 yards (tackle by Grady Jarrett and Rashaan Evans),4.000,3.430
2,2:00,3,8,ATL 12,10,7,Taylor Heinicke pass incomplete short right intended for Terry McLaurin,3.430,2.630
2,1:54,4,8,ATL 12,10,10,Joey Slye 30 yard field goal good,2.630,3.000
2,1:50,,,WAS 35,10,10,"Joey Slye kicks off 59 yards, returned by Cordarrelle Patterson for 9 yards (tackle by Jeremy Reaves)",0.000,-0.220
2,1:45,1,10,ATL 15,10,10,Marcus Mariota pass complete deep right to Olamide Zaccheaus for 23 yards,-0.220,1.470
2,1:39,1,10,ATL 38,10,10,Tyler Allgeier left guard for 2 yards (tackle by Daron Payne and Jonathan Allen),1.470,1.190
2,1:19,2,8,ATL 40,10,10,Marcus Mariota pass incomplete short left intended for Olamide Zaccheaus,1.190,0.500
2,1:15,3,8,ATL 40,10,10,Marcus Mariota pass complete short middle to Olamide Zaccheaus for 7 yards (tackle by Jamin Davis),0.500,-0.260
2,0:29,,,,,,Timeout #1 by Atlanta Falcons,,
2,0:29,4,1,ATL 47,10,10,Cordarrelle Patterson up the middle for no gain (tackle by Jonathan Allen),-0.260,-2.460
2,0:24,1,10,ATL 47,10,10,Taylor Heinicke pass short middle intended for Jahan Dotson is intercepted by Mykal Walker at ATL-32 and returned for 12 yards (tackle by Curtis Samuel),2.460,-1.860
2,0:14,1,10,ATL 44,10,10,Marcus Mariota pass incomplete short right,1.860,1.320
2,0:07,2,10,ATL 44,10,10,Marcus Mariota pass complete short middle to Anthony Firkser for 16 yards (tackle by Kamren Curl),1.320,2.920
2,0:02,,,,,,Timeout #2 by Atlanta Falcons,,
2,0:02,1,10,WAS 40,10,10,Younghoe Koo 58 yard field goal no good,2.920,2.060
Quarter,Time,Down,ToGo,Location,ATL,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,10,10,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,WAS 25,10,10,Brian Robinson left tackle for 6 yards (tackle by Mykal Walker),0.610,0.870
3,14:22,2,4,WAS 31,10,10,Curtis Samuel right end for 3 yards (tackle by Rashaan Evans),0.870,0.560
3,13:49,3,1,WAS 34,10,10,Brian Robinson left end for 21 yards (tackle by Rashaan Evans),0.560,2.590
3,13:12,1,10,ATL 45,10,10,Curtis Samuel right end for 5 yards (tackle by Rashaan Evans),2.590,2.720
3,12:28,2,5,ATL 40,10,10,"Antonio Gibson right tackle for no gain (tackle by Lorenzo Carter). Penalty on Andrew Norwell: Offensive Holding, 10 yards (accepted) (no play)",2.720,1.370
3,12:05,2,15,ATL 50,10,10,Taylor Heinicke pass incomplete short middle intended for Logan Thomas (defended by Mykal Walker),1.370,0.700
3,11:53,3,15,ATL 50,10,10,"Taylor Heinicke pass intended for Terry McLaurin is intercepted by AJ Terrell at ATL-35 and returned for no gain Replay Assistant challenged the pass interception ruling, and the original play was overturned. Taylor Heinicke pass incomplete short left intended for Terry McLaurin (defended by AJ Terrell)",0.700,-0.060
3,11:55,4,15,ATL 50,10,10,Tress Way punts 45 yards downed by Jeremy Reaves,-0.060,0.380
3,11:46,1,10,ATL 5,10,10,Tyler Allgeier right end for 2 yards (tackle by Kamren Curl),-0.380,-0.630
3,11:03,2,8,ATL 7,10,10,Tyler Allgeier right guard for 5 yards (tackle by Daron Payne and Jamin Davis),-0.630,-0.600
3,10:29,3,3,ATL 12,10,10,Marcus Mariota pass incomplete short right intended for MyCole Pruitt,-0.600,-2.490
