Quarter,Time,Tm,Detail,ATL,WAS
1.0,8:07,Falcons,Younghoe Koo 47 yard field goal,3,0
,3:46,Commanders,Brian Robinson Jr. 14 yard pass from Taylor Heinicke (Joey Slye kick),3,7
2.0,8:26,Falcons,MyCole Pruitt 4 yard pass from Marcus Mariota (Younghoe Koo kick),10,7
,1:50,Commanders,Joey Slye 30 yard field goal,10,10
3.0,4:03,Commanders,John Bates 16 yard pass from Taylor Heinicke (Joey Slye kick failed),10,16
,1:17,Falcons,Younghoe Koo 48 yard field goal,13,16
4.0,9:05,Commanders,Joey Slye 45 yard field goal,13,19
