Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Olamide Zaccheaus,ATL,8,5,91,0,2,45,9.0,46,9.2,10.3,0,,0,0.0,0,101.6
Cordarrelle Patterson,ATL,5,3,19,0,1,16,5.3,3,1.0,3.6,0,,0,0.0,1,28.3
Drake London,ATL,4,2,29,0,1,16,8.0,13,6.5,2.8,0,,1,25.0,0,74.0
MyCole Pruitt,ATL,3,2,9,1,1,1,0.5,8,4.0,3.7,0,,0,0.0,0,109.7
Anthony Firkser,ATL,1,1,16,0,1,11,11.0,5,5.0,11.0,0,,0,0.0,0,118.7
Parker Hesse,ATL,2,1,9,0,,7,7.0,2,2.0,5.5,0,,0,0.0,0,62.5
Caleb Huntley,ATL,1,1,1,0,0,-2,-2.0,3,3.0,-2.0,0,,0,0.0,0,79.2
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Terry McLaurin,WAS,6,4,48,0,4,41,10.3,7,1.8,11.3,0,,0,0.0,0,91.0
John Bates,WAS,4,3,24,1,1,20,6.7,4,1.3,8.5,0,,0,0.0,0,129.2
Antonio Gibson,WAS,3,3,22,0,1,6,2.0,16,5.3,2.0,1,3.0,0,0.0,0,97.2
Brian Robinson Jr.,WAS,3,2,20,1,1,2,1.0,18,9.0,1.3,1,2.0,1,33.3,0,125.0
Dyami Brown,WAS,1,1,17,0,1,17,17.0,0,0.0,17.0,0,,0,0.0,0,118.7
Logan Thomas,WAS,3,1,7,0,,3,3.0,4,4.0,-0.7,0,,0,0.0,0,42.4
Jahan Dotson,WAS,1,0,0,0,,0,,0,,15.0,0,,0,0.0,1,0.0
Cole Turner,WAS,1,0,0,0,,0,,0,,10.0,0,,0,0.0,0,39.6
